node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,4.41213e-41,8.00702e-42,-2.1601e-41,8.55815e-41,2.05528e-41,-4.6802e-41,1.24944e-40,3.79458e-41,-7.45617e-41,1.61273e-40,5.84916e-41,-1.05537e-40,1.93657e-40,8.29092e-41,-1.35796e-40
2,0.0,2.66667,0.5,0.0133497,0.0283681,0.125747,0.0335474,0.0441363,0.315734,0.0619224,0.0397635,0.541177,0.0977118,0.0187312,0.758006,0.139727,-0.0150253,0.959225
5,2.66667,2.66667,0.5,0.0317125,0.0199186,0.0432554,0.0667466,0.0334397,0.138623,0.106757,0.0343496,0.272672,0.150981,0.0249904,0.398379,0.198336,0.00885489,0.509047
8,2.66667,0.0,0.5,0.0304551,0.00264196,-0.068802,0.0589332,0.00893358,-0.143789,0.086106,0.0186821,-0.211302,0.111776,0.0310524,-0.278357,0.135791,0.0460765,-0.345839
9,0.0,5.33333,0.5,0.0296421,0.0282164,0.249569,0.072303,0.0320898,0.622157,0.130214,-0.00216857,1.06013,0.201623,-0.0667356,1.47494,0.283852,-0.153057,1.85301
11,2.66667,5.33333,0.5,0.0464378,0.0307135,0.189499,0.102782,0.0414877,0.48234,0.170801,0.0202392,0.839461,0.249129,-0.0263704,1.17502,0.335587,-0.0905787,1.47673
13,0.0,8.0,0.5,0.0358312,0.0337585,0.350679,0.0890656,0.0348349,0.877097,0.162613,-0.0150864,1.49698,0.253801,-0.104616,2.07902,0.358377,-0.221286,2.60313
15,2.66667,8.0,0.5,0.0537079,0.0258798,0.330451,0.12308,0.0210726,0.805204,0.210135,-0.0305092,1.36386,0.312584,-0.117854,1.88508,0.42675,-0.229086,2.35196
17,0.0,10.6667,0.5,0.0345901,0.0336891,0.419078,0.0884101,0.0307898,1.05169,0.164689,-0.0287345,1.79871,0.260188,-0.13123,2.4934,0.369623,-0.261896,3.11108
19,2.66667,10.6667,0.5,0.0505852,0.0377694,0.427149,0.119641,0.0397122,1.03189,0.209587,-0.0127131,1.73999,0.317609,-0.106393,2.40012,0.439036,-0.227356,2.99143
21,0.0,13.3333,0.5,0.027786,0.0455588,0.449462,0.0734396,0.0529507,1.13406,0.140087,0.0018825,1.94862,0.224595,-0.0936167,2.70127,0.321666,-0.218287,3.36507
23,2.66667,13.3333,0.5,0.0410325,0.042702,0.454241,0.0989735,0.0503952,1.10631,0.176187,0.0041945,1.87745,0.270149,-0.0828017,2.59498,0.376327,-0.196539,3.23599
25,0.0,16.0,0.5,0.0201796,0.0564827,0.440049,0.0543737,0.0752975,1.123,0.105,0.0367706,1.94789,0.169815,-0.0456918,2.7073,0.244495,-0.1573,3.37363
27,2.66667,16.0,0.5,0.0296402,0.0644175,0.440687,0.0721699,0.0947807,1.08773,0.129176,0.0725219,1.86593,0.199083,0.0100088,2.58864,0.278391,-0.0792141,3.23218
29,0.0,18.6667,0.5,0.0103293,0.0729877,0.391235,0.0294072,0.107865,1.02522,0.0582969,0.0858944,1.81316,0.0965361,0.0197678,2.53862,0.141592,-0.07621,3.1735
