node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,3.63924e-40,3.63924e-40,-1.02802e-40,7.03026e-40,7.03026e-40,-3.42221e-40,1.01723e-39,1.01723e-39,-6.47881e-40,1.31935e-39,1.31935e-39,-1.00186e-39,1.61569e-39,1.61569e-39,-1.35311e-39
2,0.0,2.66667,0.5,-0.0233909,-0.011288,-0.355028,-0.0629275,-0.0408871,-0.580389,-0.100774,-0.0699164,-0.730926,-0.134748,-0.0958317,-0.84094,-0.158375,-0.112262,-0.908923
5,2.66667,2.66667,0.5,-0.0333364,-0.0333364,-0.708982,-0.0981501,-0.0981501,-1.15671,-0.157822,-0.157822,-1.4517,-0.209015,-0.209015,-1.66687,-0.241396,-0.241396,-1.80469
8,2.66667,0.0,0.5,-0.011288,-0.0233909,-0.355028,-0.0408871,-0.0629275,-0.580389,-0.0699164,-0.100774,-0.730926,-0.0958317,-0.134748,-0.84094,-0.112262,-0.158375,-0.908923
9,0.0,5.33333,0.5,-0.0359834,-0.0143558,-0.617585,-0.0922747,-0.057539,-0.981851,-0.141631,-0.0974968,-1.20301,-0.181047,-0.130217,-1.34432,-0.19866,-0.145714,-1.39557
11,2.66667,5.33333,0.5,-0.0448771,-0.0330444,-0.969632,-0.123487,-0.102082,-1.55339,-0.190257,-0.159416,-1.91334,-0.24344,-0.202613,-2.15822,-0.27155,-0.220137,-2.29091
13,0.0,8.0,0.5,-0.0411363,-0.0113021,-0.787777,-0.100873,-0.0584756,-1.2036,-0.14775,-0.101185,-1.41447,-0.176773,-0.135123,-1.50672,-0.169303,-0.150762,-1.45724
15,2.66667,8.0,0.5,-0.0494867,-0.0257238,-1.13735,-0.130966,-0.0866448,-1.77421,-0.195297,-0.130918,-2.12676,-0.241558,-0.158157,-2.33443,-0.256369,-0.157833,-2.39701
17,0.0,10.6667,0.5,-0.0396731,-0.00407187,-0.866411,-0.0920573,-0.0509971,-1.24651,-0.124824,-0.0973662,-1.36721,-0.128648,-0.140244,-1.33574,-0.0760466,-0.174296,-1.12022
19,2.66667,10.6667,0.5,-0.047496,-0.0141778,-1.21125,-0.122744,-0.0622311,-1.81798,-0.176626,-0.0935744,-2.09159,-0.206598,-0.11047,-2.19815,-0.195019,-0.105185,-2.1344
21,0.0,13.3333,0.5,-0.0300488,0.00607157,-0.854386,-0.0617686,-0.0415571,-1.11082,-0.0649975,-0.10206,-1.06162,-0.0239728,-0.174721,-0.83886,0.0987491,-0.258501,-0.41196
23,2.66667,13.3333,0.5,-0.0367244,-0.00238691,-1.18682,-0.09219,-0.0423021,-1.67349,-0.120801,-0.0744613,-1.78923,-0.115682,-0.103231,-1.72738,-0.0522888,-0.123451,-1.48565
25,0.0,16.0,0.5,-0.00430329,0.0170699,-0.757758,0.00792391,-0.0375834,-0.807439,0.0614131,-0.131713,-0.512133,0.179365,-0.265823,-0.0385738,0.409328,-0.439435,0.632374
27,2.66667,16.0,0.5,-0.0128537,0.00814033,-1.05742,-0.0257651,-0.0375607,-1.32325,-0.000875214,-0.101087,-1.18806,0.0752695,-0.186452,-0.880184,0.236816,-0.287934,-0.405191
29,0.0,18.6667,0.5,0.0242348,0.00297283,-0.612699,0.0881509,-0.0879418,-0.412459,0.208353,-0.25314,0.165129,0.413836,-0.490662,0.906888,0.760529,-0.794643,1.8166
31,2.66667,18.6667,0.5,0.0134957,-0.00198993,-0.879874,0.0511147,-0.0821613,-0.8796,0.141217,-0.21678,-0.450852,0.303304,-0.405764,0.131096,0.580787,-0.637833,0.848428
33,0.0,21.3333,0.5,0.0418817,-0.00998764,-0.450756,0.15058,-0.136839,0.0187978,0.33445,-0.378232,0.905897,0.625909,-0.726957,1.93482,1.08825,-1.16769,3.09206
35,2.66667,21.3333,0.5,0.0318205,-0.00993617,-0.708081,0.113557,-0.121409,-0.442435,0.265685,-0.326936,0.292171,0.511195,-0.620617,1.15722,0.90109,-0.982221,2.11939
37,0.0,24.0,0.5,0.0559061,-0.0218602,-0.278326,0.21014,-0.185182,0.472969,0.463914,-0.510201,1.69484,0.849775,-0.981512,3.02853,1.43699,-1.57013,4.44028
39,2.66667,24.0,0.5,0.0456017,-0.0184806,-0.536076,0.170422,-0.162503,-0.000938735,0.388969,-0.446074,1.05966,0.724479,-0.855459,2.22343,1.23386,-1.35748,3.43701
41,0.0,26.6667,0.5,0.0677907,-0.0334896,-0.0971782,0.269593,-0.235263,0.945534,0.601983,-0.654024,2.52767,1.09398,-1.26338,4.18508,1.81923,-2.01616,5.85971
43,2.66667,26.6667,0.5,0.0567556,-0.0270863,-0.359404,0.225869,-0.20538,0.452077,0.51886,-0.576531,1.86313,0.955783,-1.11703,3.34551,1.59768,-1.77626,4.82026
45,0.0,29.3333,0.5,0.0780705,-0.0444502,0.0910972,0.329082,-0.286208,1.43161,0.748706,-0.808619,3.39715,1.3589,-1.57204,5.39642,2.23581,-2.50641,7.34213
47,2.66667,29.3333,0.5,0.0661819,-0.0360261,-0.176452,0.280998,-0.250651,0.917366,0.65693,-0.719507,2.70202,1.20757,-1.40765,4.52208,1.99608,-2.24232,6.26714
49,0.0,32.0,0.5,0.0872342,-0.054834,0.285214,0.388319,-0.337687,1.92633,0.902275,-0.972202,4.29339,1.6411,-1.90398,6.64949,2.68147,-3.03564,8.87281
51,2.66667,32.0,0.5,0.0744176,-0.044808,0.013482,0.335922,-0.297153,1.39407,0.802261,-0.872539,3.57188,1.47786,-1.72344,5.7461,2.42592,-2.75041,7.76907
53,0.0,34.6667,0.5,0.0958895,-0.0641116,0.48384,0.447231,-0.388013,2.42528,1.06032,-1.14018,5.20597,1.93541,-2.2508,7.92985,3.14789,-3.5916,10.4355
55,2.66667,34.6667,0.5,0.0822935,-0.0534585,0.209773,0.391238,-0.344499,1.87947,0.953654,-1.03325,4.46448,1.763,-2.05892,7.00506,2.88068,-3.29161,9.31114
57,0.0,37.3333,0.5,0.104875,-0.0724056,0.685395,0.506396,-0.436771,2.92468,1.22097,-1.30933,6.12494,2.23651,-2.60492,9.22298,3.62593,-4.16199,12.0139
59,2.66667,37.3333,0.5,0.0907045,-0.061621,0.410885,0.44786,-0.391635,2.37075,1.10994,-1.19808,5.37169,2.05869,-2.40655,8.28649,3.35245,-3.85402,10.8789
61,0.0,40.0,0.5,0.114666,-0.0801459,0.888277,0.566261,-0.48431,3.42251,1.38271,-1.4778,7.04385,2.53985,-2.96053,10.5187,4.10759,-4.73668,13.5963
63,2.66667,40.0,0.5,0.100549,-0.0694134,0.61439,0.507012,-0.438572,2.86525,1.27043,-1.36504,6.28629,2.36088,-2.76046,9.57889,3.83326,-4.42731,12.459
65,5.33333,2.66667,0.5,-0.0330444,-0.0448771,-0.969632,-0.102082,-0.123487,-1.55339,-0.159416,-0.190257,-1.91334,-0.202613,-0.24344,-2.15822,-0.220137,-0.27155,-2.29091
66,5.33333,0.0,0.5,-0.0143558,-0.0359834,-0.617585,-0.057539,-0.0922747,-0.981851,-0.0974968,-0.141631,-1.20301,-0.130217,-0.181047,-1.34432,-0.145714,-0.19866,-1.39557
69,5.33333,5.33333,0.5,-0.0437725,-0.0437725,-1.22836,-0.124354,-0.124354,-1.94524,-0.186059,-0.186059,-2.3646,-0.229977,-0.229977,-2.63924,-0.245768,-0.245768,-2.78316
71,5.33333,8.0,0.5,-0.0481831,-0.0351369,-1.39543,-0.132187,-0.104769,-2.16899,-0.192968,-0.150682,-2.58693,-0.233832,-0.17705,-2.84044,-0.244735,-0.17457,-2.94999
73,5.33333,10.6667,0.5,-0.0465687,-0.0224553,-1.46908,-0.126712,-0.076057,-2.22309,-0.181367,-0.105196,-2.5803,-0.213374,-0.116444,-2.76343,-0.210905,-0.101341,-2.79525
75,5.33333,13.3333,0.5,-0.0369766,-0.00834665,-1.44276,-0.101199,-0.048833,-2.09037,-0.137239,-0.0714744,-2.31323,-0.144679,-0.0837928,-2.36261,-0.107225,-0.0776092,-2.26232
77,5.33333,16.0,0.5,-0.0179884,0.00449432,-1.3093,-0.0477517,-0.0362238,-1.74869,-0.0416887,-0.0803465,-1.74159,0.00643051,-0.133562,-1.57236,0.120883,-0.186063,-1.26856
79,5.33333,18.6667,0.5,0.00365223,-0.0037294,-1.12898,0.0169901,-0.0739478,-1.31463,0.0780957,-0.179923,-1.03054,0.198657,-0.322486,-0.605806,0.411373,-0.486576,-0.0760717
81,5.33333,21.3333,0.5,0.0208751,-0.00965743,-0.95905,0.0751093,-0.10663,-0.89379,0.193216,-0.275641,-0.317689,0.389904,-0.511839,0.377353,0.704965,-0.791903,1.14197
83,5.33333,24.0,0.5,0.0340832,-0.0151781,-0.793067,0.128501,-0.139494,-0.4746,0.308881,-0.378552,0.415731,0.590042,-0.720695,1.40149,1.01736,-1.13053,2.41299
85,5.33333,26.6667,0.5,0.0446946,-0.0215659,-0.624039,0.180192,-0.175828,-0.0462669,0.430831,-0.495388,1.1839,0.808464,-0.960476,2.48287,1.36227,-1.51916,3.75374
87,5.33333,29.3333,0.5,0.0533453,-0.0284851,-0.447859,0.230972,-0.215093,0.396125,0.560316,-0.625808,1.99089,1.04731,-1.23157,3.62445,1.74283,-1.95907,5.16577
89,5.33333,32.0,0.5,0.0609044,-0.0361471,-0.262508,0.281842,-0.257501,0.853878,0.697849,-0.769459,2.83434,1.3064,-1.53266,4.8204,2.15787,-2.44771,6.64053
91,5.33333,34.6667,0.5,0.0680065,-0.0440413,-0.067838,0.333377,-0.301794,1.32623,0.842618,-0.923283,3.70893,1.58297,-1.85807,6.06154,2.60228,-2.97643,8.1665
93,5.33333,37.3333,0.5,0.0758568,-0.0519098,0.134329,0.38731,-0.347208,1.81039,0.99481,-1.08446,4.60677,1.87444,-2.20138,7.33533,3.0701,-3.53473,9.72863
95,5.33333,40.0,0.5,0.0857462,-0.0594044,0.340577,0.445556,-0.392915,2.30248,1.15449,-1.25,5.5195,2.1774,-2.55566,8.62906,3.55377,-4.11111,11.3122
97,8.0,2.66667,0.5,-0.0257238,-0.0494867,-1.13735,-0.0866448,-0.130966,-1.77421,-0.130918,-0.195297,-2.12676,-0.158157,-0.241558,-2.33443,-0.157833,-0.256369,-2.39701
98,8.0,0.0,0.5,-0.0113021,-0.0411363,-0.787777,-0.0584756,-0.100873,-1.2036,-0.101185,-0.14775,-1.41447,-0.135123,-0.176773,-1.50672,-0.150762,-0.169303,-1.45724
101,8.0,5.33333,0.5,-0.0351369,-0.0481831,-1.39543,-0.104769,-0.132187,-2.16899,-0.150682,-0.192968,-2.58693,-0.17705,-0.233832,-2.84044,-0.17457,-0.244735,-2.94999
103,8.0,8.0,0.5,-0.0399852,-0.0399852,-1.56564,-0.114507,-0.114507,-2.40634,-0.161858,-0.161858,-2.83953,-0.188682,-0.188682,-3.10057,-0.186396,-0.186396,-3.22337
