node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,1.05518e-42,1.56385e-42,-5.60519e-44,-4.58925e-42,4.23613e-42,2.42509e-41,1.52742e-43,3.69663e-42,-1.11824e-42,1.24295e-42,7.09337e-42,-3.48923e-42,-1.1883e-42,5.58978e-42,-2.14679e-42
2,0.0,2.66667,0.5,-0.00447536,-0.0075267,-0.200714,-0.0250388,-0.0382172,-0.449552,-0.0755825,-0.0983603,-0.71389,-0.146719,-0.17498,-0.939009,-0.234099,-0.264951,-1.13531
5,2.66667,2.66667,0.5,-0.0100614,-0.0158291,-0.372409,-0.0678797,-0.0935412,-0.922022,-0.221008,-0.260572,-1.56688,-0.455136,-0.489191,-2.14326,-0.756126,-0.765811,-2.6385
8,2.66667,0.0,0.5,-0.0050977,-0.0077376,-0.165269,-0.0417613,-0.0543139,-0.467314,-0.144259,-0.16128,-0.850288,-0.307491,-0.313558,-1.20321,-0.52143,-0.500493,-1.50315
9,0.0,5.33333,0.5,-0.008185,-0.0150954,-0.394893,-0.0485764,-0.0769933,-0.895061,-0.150317,-0.198507,-1.4278,-0.294331,-0.353295,-1.88106,-0.471462,-0.534729,-2.27538
11,2.66667,5.33333,0.5,-0.0141862,-0.0238667,-0.577935,-0.0925159,-0.133237,-1.37794,-0.297444,-0.361677,-2.28899,-0.605256,-0.668644,-3.09262,-0.99722,-1.03719,-3.78553
13,0.0,8.0,0.5,-0.0111647,-0.0225853,-0.579512,-0.0716103,-0.116812,-1.3375,-0.227806,-0.302619,-2.14812,-0.450526,-0.539756,-2.83692,-0.724891,-0.817214,-3.43359
15,2.66667,8.0,0.5,-0.0179007,-0.0320096,-0.777002,-0.117075,-0.174053,-1.83245,-0.376817,-0.466561,-3.01757,-0.763712,-0.855879,-4.05502,-1.25357,-1.32086,-4.94948
17,0.0,10.6667,0.5,-0.0140085,-0.0310084,-0.752786,-0.096687,-0.160408,-1.7801,-0.314523,-0.416688,-2.88444,-0.627802,-0.744989,-3.82123,-1.01449,-1.1284,-4.62725
19,2.66667,10.6667,0.5,-0.021502,-0.0394631,-0.966621,-0.143137,-0.214936,-2.28634,-0.463302,-0.575268,-3.75849,-0.938787,-1.05331,-5.0406,-1.53876,-1.62244,-6.14311
21,0.0,13.3333,0.5,-0.0176958,-0.0401882,-0.91368,-0.127227,-0.208203,-2.22768,-0.418436,-0.544046,-3.64935,-0.841208,-0.977561,-4.85312,-1.36444,-1.48373,-5.87929
23,2.66667,13.3333,0.5,-0.0259969,-0.0470636,-1.14541,-0.173841,-0.258177,-2.74263,-0.563416,-0.693013,-4.51971,-1.14204,-1.27052,-6.06131,-1.87087,-1.95696,-7.38077
25,0.0,16.0,0.5,-0.0239822,-0.051629,-1.06368,-0.16832,-0.264337,-2.68831,-0.549738,-0.694378,-4.45874,-1.10822,-1.25551,-5.95459,-1.80127,-1.91172,-7.21444
27,2.66667,16.0,0.5,-0.0334815,-0.0538809,-1.31444,-0.214519,-0.30286,-3.20748,-0.686587,-0.820947,-5.31238,-1.38824,-1.51272,-7.13203,-2.27124,-2.33552,-8.67914
29,0.0,18.6667,0.5,-0.041073,-0.0673935,-1.20333,-0.236564,-0.333455,-3.16257,-0.731857,-0.876642,-5.31205,-1.45739,-1.59378,-7.12167,-2.35684,-2.43444,-8.6225
31,2.66667,18.6667,0.5,-0.0448835,-0.0617479,-1.47751,-0.26783,-0.353547,-3.68868,-0.83667,-0.967641,-6.14669,-1.68211,-1.79348,-8.2642,-2.74538,-2.77757,-10.05
33,0.0,21.3333,0.5,-0.0594371,-0.0625033,-1.3066,-0.307717,-0.358295,-3.59692,-0.917848,-0.992639,-6.14016,-1.81358,-1.84921,-8.28595,-2.92655,-2.8639,-10.0533
35,2.66667,21.3333,0.5,-0.0573357,-0.0588552,-1.60935,-0.322952,-0.379601,-4.13487,-0.986689,-1.07547,-6.95182,-1.97406,-2.02315,-9.37763,-3.21737,-3.15911,-11.4158
37,0.0,24.0,0.5,-0.0669227,-0.0555468,-1.34443,-0.350832,-0.366952,-3.91548,-1.04648,-1.06379,-6.81736,-2.07362,-2.02315,-9.28092,-3.35583,-3.17138,-11.3139
39,2.66667,24.0,0.5,-0.0717785,-0.0571214,-1.67689,-0.376035,-0.396709,-4.46988,-1.11835,-1.15132,-7.60688,-2.22131,-2.18943,-10.3119,-3.61106,-3.44013,-12.5855
41,0.0,26.6667,0.5,-0.0671202,-0.0510611,-1.30897,-0.372526,-0.3689,-4.09372,-1.12703,-1.10137,-7.29859,-2.24833,-2.12564,-10.0426,-3.65561,-3.36316,-12.3234
43,2.66667,26.6667,0.5,-0.0733419,-0.041179,-1.6537,-0.395115,-0.371334,-4.64118,-1.18107,-1.13884,-8.03973,-2.35313,-2.21106,-10.9837,-3.83451,-3.51362,-13.4722
