node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,1.08601e-42,1.62551e-42,-1.42932e-43,-4.68734e-42,4.11842e-42,2.83174e-41,1.86373e-43,3.73446e-42,-1.5162e-42,-8.47786e-43,2.76476e-42,3.33509e-43,-1.64933e-42,6.31705e-42,-2.50973e-42
2,0.0,2.66667,0.5,-0.00503975,-0.00778006,-0.203877,-0.0326077,-0.0438999,-0.481004,-0.0902732,-0.105019,-0.735671,-0.169749,-0.181388,-0.951936,-0.269317,-0.274167,-1.14688
5,2.66667,2.66667,0.5,-0.0104057,-0.0154514,-0.372361,-0.0798251,-0.101791,-0.977015,-0.245301,-0.268698,-1.61636,-0.496091,-0.495269,-2.19081,-0.817571,-0.773467,-2.68734
8,2.66667,0.0,0.5,-0.00492866,-0.00714749,-0.162357,-0.0461929,-0.056919,-0.491121,-0.153623,-0.162562,-0.877251,-0.324959,-0.31292,-1.23697,-0.547239,-0.498671,-1.5399
9,0.0,5.33333,0.5,-0.00929779,-0.0155914,-0.4016,-0.0637452,-0.0882669,-0.958332,-0.179411,-0.211548,-1.47086,-0.340058,-0.36587,-1.90663,-0.541972,-0.553198,-2.29883
11,2.66667,5.33333,0.5,-0.0150451,-0.0237922,-0.581003,-0.112162,-0.147275,-1.46441,-0.336835,-0.376889,-2.36112,-0.670159,-0.681983,-3.15454,-1.09539,-1.05533,-3.84749
13,0.0,8.0,0.5,-0.0128698,-0.0234894,-0.59043,-0.0945052,-0.133858,-1.43315,-0.27109,-0.32217,-2.21167,-0.519076,-0.559059,-2.87498,-0.831958,-0.846441,-3.46994
15,2.66667,8.0,0.5,-0.0192465,-0.0322323,-0.783813,-0.144487,-0.193799,-1.95107,-0.431288,-0.488814,-3.11258,-0.853173,-0.877016,-4.13253,-1.39038,-1.35111,-5.02688
17,0.0,10.6667,0.5,-0.0163827,-0.0322974,-0.768849,-0.127427,-0.183073,-1.90888,-0.371979,-0.442543,-2.96784,-0.720309,-0.771725,-3.8725,-1.16153,-1.171,-4.67898
19,2.66667,10.6667,0.5,-0.0234518,-0.040204,-0.978084,-0.178539,-0.24074,-2.43791,-0.53322,-0.60513,-3.87644,-1.05446,-1.08387,-5.13513,-1.71803,-1.66827,-6.23882
