node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,1.21983e-41,-6.98968e-42,8.22282e-42,2.68811e-41,-1.343e-41,1.19769e-41,4.20137e-41,-2.09438e-41,1.32815e-41,5.79857e-41,-2.87084e-41,9.74043e-42,7.34869e-41,-3.68668e-41,9.18411e-42
2,0.0,2.66667,0.5,-0.00855622,-0.0075925,-0.163089,-0.0360287,-0.0390267,-0.420688,-0.084283,-0.0925563,-0.659243,-0.154792,-0.1698,-0.891077,-0.249355,-0.271647,-1.11276
5,2.66667,2.66667,0.5,-0.0108086,-0.0175056,-0.384528,-0.0918956,-0.10976,-1.02383,-0.240504,-0.267004,-1.60192,-0.446424,-0.483056,-2.12326,-0.706308,-0.753871,-2.58821
8,2.66667,0.0,0.5,-0.0106887,-0.0102077,-0.216337,-0.0725464,-0.0712028,-0.596814,-0.180076,-0.174186,-0.931024,-0.321199,-0.310994,-1.21322,-0.490329,-0.476318,-1.44778
9,0.0,5.33333,0.5,-0.0188977,0.00445694,-0.345491,-0.0834316,-0.0440994,-0.887937,-0.195293,-0.141167,-1.3883,-0.356094,-0.289766,-1.87205,-0.568626,-0.491145,-2.33155
11,2.66667,5.33333,0.5,-0.0179611,-0.00910545,-0.588778,-0.137388,-0.124177,-1.52428,-0.355287,-0.333118,-2.37748,-0.660896,-0.631002,-3.16217,-1.05155,-1.01398,-3.87337
13,0.0,8.0,0.5,-0.0246937,0.013401,-0.554908,-0.133938,-0.0625799,-1.42027,-0.32609,-0.218986,-2.211,-0.600775,-0.459585,-2.967,-0.960369,-0.784923,-3.67538
15,2.66667,8.0,0.5,-0.0269279,-0.00554523,-0.822455,-0.198719,-0.156213,-2.08885,-0.50908,-0.435666,-3.24129,-0.944012,-0.839035,-4.30277,-1.49944,-1.36096,-5.26143
17,0.0,10.6667,0.5,-0.0282563,0.0233167,-0.784606,-0.190849,-0.0872282,-2.00988,-0.479659,-0.315933,-3.11556,-0.889768,-0.666237,-4.15885,-1.42156,-1.13674,-5.12153
19,2.66667,10.6667,0.5,-0.0337948,0.00356431,-1.0553,-0.259073,-0.179182,-2.66699,-0.664637,-0.526366,-4.12735,-1.23218,-1.0327,-5.47204,-1.95588,-1.69109,-6.68366
21,0.0,13.3333,0.5,-0.0303869,0.02259,-1.03016,-0.255435,-0.141475,-2.65245,-0.657713,-0.466376,-4.09361,-1.22448,-0.95316,-5.43147,-1.95222,-1.59693,-6.64379
23,2.66667,13.3333,0.5,-0.0298801,0.0136041,-1.31505,-0.311018,-0.212465,-3.32081,-0.826352,-0.648273,-5.12696,-1.55025,-1.28631,-6.78123,-2.47285,-2.11591,-8.25916
25,0.0,16.0,0.5,-0.0313444,0.024005,-1.24344,-0.314732,-0.188275,-3.26485,-0.823716,-0.601883,-5.03876,-1.53662,-1.21403,-6.66601,-2.44592,-2.01641,-8.12481
27,2.66667,16.0,0.5,-0.0293609,0.000911028,-1.54066,-0.364011,-0.287003,-3.92707,-0.980929,-0.825224,-6.05676,-1.84609,-1.60223,-7.99329,-2.94518,-2.60353,-9.70991
29,0.0,18.6667,0.5,-0.0348148,0.0186298,-1.42477,-0.375962,-0.246056,-3.84977,-0.990062,-0.751657,-5.95714,-1.84486,-1.48871,-7.86766,-2.92742,-2.44456,-9.56391
31,2.66667,18.6667,0.5,-0.0361939,0.00871132,-1.72165,-0.423224,-0.314348,-4.47702,-1.13491,-0.924934,-6.92148,-2.12989,-1.8067,-9.13471,-3.39035,-2.94216,-11.0916
33,0.0,21.3333,0.5,-0.0395058,0.0179916,-1.57194,-0.436165,-0.291722,-4.40728,-1.15416,-0.884914,-6.86317,-2.15143,-1.74365,-9.06967,-3.40922,-2.85011,-11.0137
35,2.66667,21.3333,0.5,-0.0342226,0.0144271,-1.84887,-0.454983,-0.336525,-4.95094,-1.23538,-1.00739,-7.69522,-2.32807,-1.97601,-10.1733,-3.71224,-3.22204,-12.365
37,0.0,24.0,0.5,-0.0484456,0.0127535,-1.64158,-0.48869,-0.329926,-4.84108,-1.28577,-0.991132,-7.62222,-2.39242,-1.94612,-10.1126,-3.78622,-3.17291,-12.3032
39,2.66667,24.0,0.5,-0.0342688,0.0141705,-1.89699,-0.475853,-0.355876,-5.29122,-1.29797,-1.07019,-8.29383,-2.45039,-2.10175,-11.0019,-3.91063,-3.42801,-13.4023
41,0.0,26.6667,0.5,-0.0508194,0.0335583,-1.6609,-0.518507,-0.307329,-5.19882,-1.36865,-0.999514,-8.30496,-2.55211,-2.01318,-11.0918,-4.04453,-3.32242,-13.5516
43,2.66667,26.6667,0.5,-0.0345726,0.033116,-1.90646,-0.490876,-0.330313,-5.57232,-1.34189,-1.05998,-8.82684,-2.53699,-2.12482,-11.7646,-4.05309,-3.5003,-14.3784
45,0.0,29.3333,0.5,-0.0459777,0.0317225,-1.63859,-0.52628,-0.321511,-5.46988,-1.40314,-1.05198,-8.86873,-2.62788,-2.12718,-11.9292,-4.17643,-3.51888,-14.6443
47,2.66667,29.3333,0.5,-0.0382469,0.0318251,-1.87224,-0.507886,-0.338132,-5.76476,-1.37863,-1.09066,-9.23171,-2.60076,-2.19179,-12.3619,-4.15123,-3.61533,-15.1542
49,0.0,32.0,0.5,-0.0483718,0.0285271,-1.54016,-0.542868,-0.32716,-5.5643,-1.43769,-1.07196,-9.15663,-2.68535,-2.17255,-12.3998,-4.26268,-3.60069,-15.2933
51,2.66667,32.0,0.5,-0.0399602,0.0435126,-1.76407,-0.517703,-0.309166,-5.7993,-1.39625,-1.04977,-9.39776,-2.6279,-2.1433,-12.6442,-4.19003,-3.56325,-15.5464
53,0.0,34.6667,0.5,-0.0452341,0.0306632,-1.36464,-0.546239,-0.313903,-5.47248,-1.44681,-1.04878,-9.13909,-2.70097,-2.14025,-12.4437,-4.28556,-3.56003,-15.3981
55,2.66667,34.6667,0.5,-0.0446954,0.0403386,-1.57988,-0.534608,-0.306084,-5.6637,-1.42413,-1.04156,-9.29421,-2.66783,-2.13119,-12.556,-4.24293,-3.54799,-15.4685
57,0.0,37.3333,0.5,-0.0601814,0.00275491,-1.1464,-0.586698,-0.360775,-5.27149,-1.51302,-1.11626,-8.93696,-2.79477,-2.23002,-12.2233,-4.40816,-3.67277,-15.1569
59,2.66667,37.3333,0.5,-0.0563715,0.0367228,-1.34385,-0.568127,-0.304213,-5.41154,-1.48065,-1.0362,-9.00465,-2.75074,-2.12526,-12.2105,-4.35502,-3.54368,-15.0621
61,0.0,40.0,0.5,-0.0867042,0.0228705,-0.904967,-0.650805,-0.311958,-5.01077,-1.61687,-1.04191,-8.63251,-2.94254,-2.1342,-11.8532,-4.6034,-3.55873,-14.714
63,2.66667,40.0,0.5,-0.0636466,0.0547429,-1.08858,-0.594248,-0.260366,-5.11345,-1.52921,-0.97076,-8.63774,-2.82747,-2.04386,-11.7527,-4.46489,-3.45118,-14.506
65,5.33333,2.66667,0.5,-0.0194681,-0.0384943,-0.647494,-0.17364,-0.212359,-1.70776,-0.45355,-0.501674,-2.65599,-0.83504,-0.891353,-3.48586,-1.30736,-1.37073,-4.1983
66,5.33333,0.0,0.5,-0.0263578,-0.0417952,-0.442689,-0.15992,-0.188931,-1.21511,-0.38869,-0.42215,-1.88685,-0.68731,-0.724156,-2.4464,-1.04302,-1.08298,-2.9013
69,5.33333,5.33333,0.5,-0.0228893,-0.0285235,-0.881097,-0.218346,-0.228492,-2.25451,-0.577511,-0.577807,-3.49704,-1.07485,-1.06228,-4.60622,-1.69972,-1.67093,-5.57517
