node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,1.19769e-41,-6.09985e-42,9.07201e-42,1.91375e-41,-8.25085e-42,3.89547e-41,4.11814e-41,-2.16767e-41,1.49631e-41,5.7208e-41,-2.97019e-41,1.16882e-41,7.36046e-41,-3.70209e-41,8.93608e-42
2,0.0,2.66667,0.5,-0.00761538,-0.00744628,-0.160621,-0.0314321,-0.0377535,-0.41298,-0.0745019,-0.0898605,-0.649769,-0.139013,-0.165098,-0.880387,-0.22746,-0.264481,-1.10194
5,2.66667,2.66667,0.5,-0.00972478,-0.0179862,-0.380324,-0.0866987,-0.110792,-1.0133,-0.231132,-0.270218,-1.59248,-0.434304,-0.489225,-2.11683,-0.694476,-0.764034,-2.58666
8,2.66667,0.0,0.5,-0.0105529,-0.0108421,-0.214487,-0.0720108,-0.0735452,-0.594142,-0.180566,-0.180112,-0.931181,-0.324863,-0.321782,-1.21744,-0.500193,-0.493381,-1.45682
9,0.0,5.33333,0.5,-0.0169674,0.00479611,-0.340436,-0.0741488,-0.0413849,-0.872647,-0.175633,-0.135378,-1.36945,-0.324375,-0.279555,-1.85054,-0.524605,-0.475404,-2.30947
11,2.66667,5.33333,0.5,-0.0159031,-0.00943102,-0.582205,-0.127476,-0.123725,-1.50605,-0.336096,-0.33312,-2.35854,-0.633188,-0.631473,-3.14495,-1.01849,-1.01529,-3.8607
13,0.0,8.0,0.5,-0.0217356,0.0139028,-0.547098,-0.120004,-0.0584191,-1.39785,-0.296807,-0.209907,-2.18332,-0.553673,-0.443223,-2.93504,-0.895286,-0.759272,-3.64213
15,2.66667,8.0,0.5,-0.0238385,-0.00565077,-0.813478,-0.184087,-0.154099,-2.06352,-0.480342,-0.432073,-3.21369,-0.90143,-0.833001,-4.27552,-1.44653,-1.35193,-5.23811
17,0.0,10.6667,0.5,-0.0242433,0.0240569,-0.773851,-0.172354,-0.0815368,-1.98111,-0.441052,-0.303315,-3.08004,-0.827796,-0.643019,-4.11712,-1.33625,-1.09974,-5.07735
19,2.66667,10.6667,0.5,-0.0296976,0.0036012,-1.04382,-0.239898,-0.175706,-2.63529,-0.62667,-0.519624,-4.09198,-1.17503,-1.02057,-5.43541,-1.88329,-1.67195,-6.65001
