node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,6.26549e-41,3.82176e-41,1.57001e-41,1.28407e-40,7.72536e-41,6.71222e-42,1.93032e-40,1.11301e-40,-2.58946e-41,2.52548e-40,1.35218e-40,-8.18793e-41,3.01161e-40,1.46409e-40,-1.53617e-40
2,0.0,2.66667,0.5,-0.00102289,-0.0100812,-0.140368,-0.0255003,-0.0484449,-0.43213,-0.0662234,-0.112727,-0.69315,-0.120188,-0.195564,-0.922697,-0.187539,-0.294347,-1.12854
5,2.66667,2.66667,0.5,-0.0102651,-0.0146823,-0.434343,-0.0960866,-0.112655,-1.09618,-0.231927,-0.279393,-1.66143,-0.419182,-0.502246,-2.16957,-0.661115,-0.776172,-2.62727
8,2.66667,0.0,0.5,-0.0226222,-0.0261759,-0.286827,-0.096225,-0.106319,-0.646593,-0.199951,-0.226009,-0.929291,-0.336829,-0.378718,-1.17933,-0.508704,-0.561166,-1.39786
9,0.0,5.33333,0.5,-0.00988528,-0.00256231,-0.297161,-0.0738355,-0.066063,-0.903966,-0.173814,-0.184914,-1.44426,-0.303732,-0.343487,-1.91851,-0.463696,-0.535816,-2.34168
11,2.66667,5.33333,0.5,-0.00850798,-0.0151747,-0.587143,-0.120559,-0.143446,-1.55213,-0.30224,-0.369013,-2.39298,-0.552418,-0.672037,-3.1464,-0.874847,-1.04471,-3.82521
13,0.0,8.0,0.5,-0.0212918,-0.00196142,-0.494359,-0.142493,-0.108899,-1.4638,-0.329963,-0.310037,-2.31766,-0.574928,-0.579496,-3.05969,-0.876785,-0.905735,-3.70888
15,2.66667,8.0,0.5,-0.0238143,-0.0105177,-0.791445,-0.19624,-0.17643,-2.11181,-0.469099,-0.477619,-3.26637,-0.838291,-0.883965,-4.28957,-1.30648,-1.38182,-5.1972
17,0.0,10.6667,0.5,-0.0451375,-0.00734297,-0.729691,-0.24806,-0.173635,-2.10544,-0.555405,-0.479802,-3.29991,-0.955711,-0.887409,-4.32426,-1.44611,-1.37672,-5.19938
19,2.66667,10.6667,0.5,-0.0375204,-0.00979636,-1.01837,-0.276243,-0.225168,-2.72436,-0.651759,-0.61952,-4.21271,-1.15781,-1.15163,-5.51934,-1.79561,-1.80086,-6.66114
21,0.0,13.3333,0.5,-0.0617712,0.011543,-0.977568,-0.34116,-0.195246,-2.79272,-0.766887,-0.593203,-4.36004,-1.32717,-1.13249,-5.70279,-2.01801,-1.78554,-6.84151
23,2.66667,13.3333,0.5,-0.0510452,-0.00218492,-1.24304,-0.354109,-0.26086,-3.34475,-0.830183,-0.742453,-5.1734,-1.47245,-1.39577,-6.77236,-2.28139,-2.19377,-8.15934
25,0.0,16.0,0.5,-0.0668585,0.00724583,-1.19155,-0.400204,-0.253722,-3.41882,-0.913867,-0.748516,-5.32858,-1.59668,-1.41783,-6.96507,-2.44401,-2.22769,-8.35118
27,2.66667,16.0,0.5,-0.0648836,-0.00244631,-1.45716,-0.42662,-0.310269,-3.94927,-0.993973,-0.881885,-6.10784,-1.76051,-1.65707,-7.99047,-2.72623,-2.60288,-9.61673
29,0.0,18.6667,0.5,-0.0790303,0.00636399,-1.38538,-0.465999,-0.300621,-4.01061,-1.06393,-0.880685,-6.24996,-1.86373,-1.66703,-8.17318,-2.86085,-2.62049,-9.80507
31,2.66667,18.6667,0.5,-0.0758606,-0.000271529,-1.65383,-0.485962,-0.350701,-4.52592,-1.13108,-1.00281,-7.00593,-2.0067,-1.88944,-9.17046,-3.1133,-2.97319,-11.0408
33,0.0,21.3333,0.5,-0.0850092,0.0123071,-1.55027,-0.509595,-0.325783,-4.54611,-1.17052,-0.970669,-7.09483,-2.06222,-1.85074,-9.29551,-3.18177,-2.92405,-11.1757
35,2.66667,21.3333,0.5,-0.0874287,0.00334524,-1.79438,-0.532082,-0.37379,-4.99183,-1.2308,-1.07928,-7.74499,-2.18165,-2.04167,-10.1549,-3.38619,-3.22135,-12.2472
37,0.0,24.0,0.5,-0.0972888,-0.00195563,-1.65765,-0.550687,-0.376751,-4.9524,-1.25425,-1.07968,-7.74175,-2.20539,-2.03574,-10.1583,-3.40272,-3.20197,-12.2363
39,2.66667,24.0,0.5,-0.100815,0.0029627,-1.85879,-0.566994,-0.387967,-5.29735,-1.29425,-1.12056,-8.24423,-2.28261,-2.12107,-10.8295,-3.5344,-3.34957,-13.0869
41,0.0,26.6667,0.5,-0.112627,0.0137756,-1.71018,-0.587821,-0.357134,-5.24019,-1.31945,-1.06914,-8.21551,-2.30718,-2.04504,-10.8032,-3.55068,-3.24191,-13.0464
43,2.66667,26.6667,0.5,-0.105066,0.0245292,-1.88659,-0.576865,-0.351311,-5.52105,-1.31204,-1.07656,-8.62135,-2.31204,-2.07589,-11.3476,-3.57932,-3.30969,-13.7431
45,0.0,29.3333,0.5,-0.110678,0.0267013,-1.69906,-0.584381,-0.334962,-5.39037,-1.31559,-1.04473,-8.48631,-2.30534,-2.0239,-11.1883,-3.55363,-3.23006,-13.5496
47,2.66667,29.3333,0.5,-0.105041,0.030656,-1.86691,-0.574482,-0.340086,-5.6389,-1.30655,-1.06425,-8.83894,-2.30341,-2.0655,-11.6572,-3.5671,-3.30476,-14.1466
49,0.0,32.0,0.5,-0.119547,0.016286,-1.64898,-0.600712,-0.356726,-5.4511,-1.33873,-1.0826,-8.62414,-2.33542,-2.08128,-11.4025,-3.5909,-3.31082,-13.8495
51,2.66667,32.0,0.5,-0.120374,0.0257116,-1.81827,-0.602177,-0.3488,-5.69146,-1.34541,-1.07917,-8.96167,-2.35248,-2.08826,-11.8478,-3.6248,-3.3375,-14.4117
53,0.0,34.6667,0.5,-0.13664,0.0296321,-1.5595,-0.633744,-0.329296,-5.42764,-1.38649,-1.04463,-8.64116,-2.39682,-2.03487,-11.4654,-3.66434,-3.25817,-13.973
55,2.66667,34.6667,0.5,-0.1315,0.0508961,-1.72998,-0.622391,-0.296163,-5.66144,-1.37328,-1.00099,-8.96672,-2.3861,-1.98548,-11.8924,-3.66102,-3.21127,-14.5083
57,0.0,37.3333,0.5,-0.142267,0.0422061,-1.40665,-0.644472,-0.302074,-5.27256,-1.39949,-1.00605,-8.46277,-2.40845,-1.98617,-11.2707,-3.66946,-3.19959,-13.7771
59,2.66667,37.3333,0.5,-0.131113,0.0544372,-1.54254,-0.619403,-0.286122,-5.42958,-1.36251,-0.987368,-8.67179,-2.36117,-1.96887,-11.5417,-3.61368,-3.19081,-14.1161
61,0.0,40.0,0.5,-0.146367,0.0499421,-1.25123,-0.649708,-0.282982,-5.1089,-1.40067,-0.977252,-8.27205,-2.39954,-1.94766,-11.0605,-3.64278,-3.15064,-13.5622
63,2.66667,40.0,0.5,-0.136115,0.0616703,-1.34975,-0.627264,-0.268974,-5.18644,-1.36758,-0.963381,-8.36102,-2.3567,-1.93887,-11.1713,-3.59103,-3.1542,-13.7006
65,5.33333,2.66667,0.5,-0.0169674,-0.022988,-0.763517,-0.171434,-0.194528,-1.83003,-0.416842,-0.484325,-2.72687,-0.758224,-0.871899,-3.53234,-1.2009,-1.34795,-4.25075
66,5.33333,0.0,0.5,-0.0047259,-0.0439029,-0.58041,-0.115303,-0.20051,-1.3264,-0.29093,-0.4412,-1.92394,-0.53953,-0.754177,-2.46314,-0.866864,-1.13441,-2.94533
69,5.33333,5.33333,0.5,-0.0276158,-0.0320433,-0.941842,-0.22556,-0.246611,-2.31879,-0.539294,-0.611412,-3.49936,-0.970589,-1.09721,-4.55181,-1.5239,-1.69003,-5.48367
71,5.33333,8.0,0.5,-0.0336538,-0.0188868,-1.14992,-0.280708,-0.262599,-2.8765,-0.676165,-0.696661,-4.3781,-1.2195,-1.28262,-5.71315,-1.91457,-2.00102,-6.88962
73,5.33333,10.6667,0.5,-0.0427871,-0.0214044,-1.35103,-0.340494,-0.308669,-3.42311,-0.816824,-0.82362,-5.2328,-1.46949,-1.51898,-6.83524,-2.30187,-2.37016,-8.24001
75,5.33333,13.3333,0.5,-0.0552392,-0.0144407,-1.5375,-0.402067,-0.333055,-3.94963,-0.954138,-0.913227,-6.05926,-1.70882,-1.70027,-7.92544,-2.66996,-2.66565,-9.56084
77,5.33333,16.0,0.5,-0.0637576,-0.00879285,-1.7338,-0.455577,-0.363569,-4.50208,-1.08075,-1.01553,-6.92194,-1.93747,-1.90303,-9.06158,-3.03029,-2.99374,-10.9362
79,5.33333,18.6667,0.5,-0.0696537,-0.00287448,-1.89133,-0.493311,-0.384709,-4.98181,-1.17086,-1.09138,-7.6781,-2.10168,-2.0558,-10.0637,-3.29069,-3.24265,-12.1581
81,5.33333,21.3333,0.5,-0.0726835,-9.6988e-05,-1.97754,-0.511532,-0.397242,-5.31993,-1.21407,-1.13534,-8.22638,-2.18094,-2.14417,-10.801,-3.41723,-3.38717,-13.0702
83,5.33333,24.0,0.5,-0.0795427,0.000495194,-2.00465,-0.528196,-0.402894,-5.53412,-1.24311,-1.15468,-8.58804,-2.22587,-2.18291,-11.2947,-3.48124,-3.45087,-13.6889
85,5.33333,26.6667,0.5,-0.097715,0.0254096,-2.00627,-0.56291,-0.356251,-5.68937,-1.29404,-1.0909,-8.85867,-2.29327,-2.10537,-11.6677,-3.56457,-3.36308,-14.1604
87,5.33333,29.3333,0.5,-0.11306,0.0366437,-2.00893,-0.590582,-0.336251,-5.8367,-1.33407,-1.06567,-9.11472,-2.34624,-2.07756,-12.022,-3.63039,-3.33567,-14.611
89,5.33333,32.0,0.5,-0.108706,0.0402633,-1.96761,-0.57758,-0.328419,-5.89069,-1.31088,-1.05559,-9.23508,-2.31128,-2.06668,-12.2048,-3.58101,-3.32592,-14.8605
91,5.33333,34.6667,0.5,-0.114729,0.0576239,-1.85809,-0.585998,-0.290326,-5.80863,-1.31881,-0.997489,-9.16129,-2.31499,-1.98836,-12.1445,-3.57519,-3.22712,-14.8257
93,5.33333,37.3333,0.5,-0.1237,0.0728887,-1.68141,-0.601958,-0.257334,-5.58924,-1.33746,-0.949115,-8.88307,-2.33033,-1.92497,-11.8146,-3.57887,-3.14792,-14.4566
95,5.33333,40.0,0.5,-0.122659,0.0753055,-1.47957,-0.599129,-0.25046,-5.32105,-1.32832,-0.940855,-8.53521,-2.309,-1.91608,-11.397,-3.53743,-3.13772,-13.9842
97,8.0,2.66667,0.5,-0.0324126,-0.041903,-1.05377,-0.253084,-0.289121,-2.48722,-0.59556,-0.694074,-3.67375,-1.06726,-1.22865,-4.73591,-1.67506,-1.88013,-5.68058
98,8.0,0.0,0.5,-0.010598,-0.0481259,-0.850353,-0.174537,-0.262975,-1.96336,-0.430825,-0.598856,-2.84951,-0.790708,-1.03793,-3.65064,-1.26293,-1.5736,-4.37299
101,8.0,5.33333,0.5,-0.0454501,-0.0357426,-1.27618,-0.322183,-0.319795,-3.05276,-0.756825,-0.80459,-4.56496,-1.35426,-1.45251,-5.91391,-2.12052,-2.24475,-7.10353
103,8.0,8.0,0.5,-0.0511485,-0.0282638,-1.48615,-0.37403,-0.345041,-3.59859,-0.888288,-0.902491,-5.42837,-1.59659,-1.65439,-7.05901,-2.50431,-2.57645,-8.49264
105,8.0,10.6667,0.5,-0.0581855,-0.029824,-1.66704,-0.420472,-0.381794,-4.08931,-0.999877,-1.00658,-6.20629,-1.7975,-1.8509,-8.09211,-2.81873,-2.88652,-9.75036
107,8.0,13.3333,0.5,-0.0545993,-0.0173716,-1.83054,-0.440087,-0.387311,-4.55654,-1.06434,-1.0588,-6.95493,-1.92888,-1.97373,-9.09811,-3.04088,-3.1021,-10.9929
109,8.0,16.0,0.5,-0.0607047,-0.0175235,-1.97433,-0.473815,-0.41408,-4.98473,-1.14232,-1.13523,-7.63575,-2.06796,-2.11807,-10.0055,-3.2588,-3.33078,-12.1061
111,8.0,18.6667,0.5,-0.0677259,-0.000558093,-2.07516,-0.501247,-0.398589,-5.33248,-1.20037,-1.13687,-8.19791,-2.16715,-2.14889,-10.7608,-3.40967,-3.40146,-13.0401
113,8.0,21.3333,0.5,-0.0764014,-0.0057051,-2.13273,-0.524485,-0.41991,-5.59134,-1.24282,-1.18378,-8.62303,-2.23373,-2.2282,-11.333,-3.50464,-3.519,-13.7474
115,8.0,24.0,0.5,-0.0819606,0.00433007,-2.15315,-0.53667,-0.40578,-5.77525,-1.26331,-1.17154,-8.9387,-2.26478,-2.22257,-11.7677,-3.54792,-3.52465,-14.2966
117,8.0,26.6667,0.5,-0.0838822,0.0156904,-2.14203,-0.536752,-0.38436,-5.88939,-1.25998,-1.14257,-9.14671,-2.25683,-2.18799,-12.0596,-3.53317,-3.48687,-14.6712
119,8.0,29.3333,0.5,-0.0896917,0.0466326,-2.13535,-0.543139,-0.323984,-6.00371,-1.26535,-1.05496,-9.34956,-2.25964,-2.07483,-12.3404,-3.53053,-3.35034,-15.0281
121,8.0,32.0,0.5,-0.0983,0.0506189,-2.0822,-0.554037,-0.314485,-6.01829,-1.27549,-1.04038,-9.4029,-2.26555,-2.05512,-12.4251,-3.52717,-3.32559,-15.144
123,8.0,34.6667,0.5,-0.0988981,0.0668968,-1.95799,-0.550691,-0.279108,-5.89132,-1.26445,-0.986593,-9.25351,-2.24166,-1.98282,-12.254,-3.48303,-3.23443,-14.9573
125,8.0,37.3333,0.5,-0.101376,0.0805064,-1.78692,-0.554519,-0.249959,-5.67377,-1.26655,-0.94357,-8.97829,-2.23674,-1.92586,-11.9298,-3.46322,-3.16261,-14.5963
127,8.0,40.0,0.5,-0.115405,0.0913576,-1.57297,-0.583893,-0.227391,-5.37352,-1.30795,-0.912506,-8.58297,-2.28447,-1.88701,-11.4508,-3.50897,-3.11514,-14.0477
129,10.6667,2.66667,0.5,-0.0249996,-0.0592881,-1.33266,-0.287502,-0.378358,-3.13901,-0.702394,-0.894883,-4.62385,-1.28054,-1.57438,-5.95702,-2.03227,-2.40247,-7.14942
130,10.6667,0.0,0.5,-0.0076169,-0.0519808,-1.12444,-0.218126,-0.326245,-2.6218,-0.549698,-0.760081,-3.80768,-1.01704,-1.32898,-4.87993,-1.63233,-2.02484,-5.85131
133,10.6667,5.33333,0.5,-0.0437536,-0.038685,-1.55823,-0.366533,-0.37866,-3.69693,-0.879598,-0.96054,-5.51078,-1.59158,-1.74112,-7.13868,-2.51213,-2.69998,-8.58543
135,10.6667,8.0,0.5,-0.0475918,-0.0303452,-1.75067,-0.407508,-0.395869,-4.19176,-0.98826,-1.03942,-6.30505,-1.79657,-1.91079,-8.20441,-2.84177,-2.9849,-9.89149
137,10.6667,10.6667,0.5,-0.0507199,-0.0357875,-1.90794,-0.437633,-0.432854,-4.6194,-1.06715,-1.1351,-6.99627,-1.94473,-2.08718,-9.13591,-3.08007,-3.26123,-11.0403
139,10.6667,13.3333,0.5,-0.0628958,-0.0175604,-2.04332,-0.48062,-0.418349,-5.00805,-1.15695,-1.14596,-7.62716,-2.09662,-2.1409,-9.98939,-3.30996,-3.37362,-12.0998
141,10.6667,16.0,0.5,-0.0577936,-0.0147519,-2.15175,-0.482736,-0.429404,-5.34429,-1.1761,-1.18577,-8.17186,-2.14194,-2.2208,-10.723,-3.39072,-3.50384,-13.0088
143,10.6667,18.6667,0.5,-0.0628274,-0.00991435,-2.23388,-0.500165,-0.432478,-5.63162,-1.212,-1.20742,-8.64038,-2.20226,-2.26883,-11.3541,-3.48119,-3.58521,-13.7905
145,10.6667,21.3333,0.5,-0.0705939,-0.00614636,-2.28649,-0.518546,-0.434125,-5.8605,-1.24404,-1.2218,-9.01952,-2.25104,-2.30111,-11.8674,-3.54902,-3.63991,-14.4288
147,10.6667,24.0,0.5,-0.0724163,0.00569097,-2.28974,-0.519901,-0.413767,-5.99327,-1.24427,-1.19628,-9.25979,-2.24981,-2.27321,-12.2076,-3.54526,-3.6128,-14.8687
149,10.6667,26.6667,0.5,-0.0701611,0.0258755,-2.25089,-0.510276,-0.373082,-6.03443,-1.22422,-1.1358,-9.3564,-2.21582,-2.19346,-12.3534,-3.49221,-3.51478,-15.0668
151,10.6667,29.3333,0.5,-0.0698693,0.0460793,-2.20908,-0.502154,-0.331461,-6.06068,-1.2043,-1.07258,-9.42122,-2.1796,-2.10827,-12.4458,-3.4332,-3.4076,-15.1839
153,10.6667,32.0,0.5,-0.0741256,0.0539224,-2.13402,-0.503432,-0.313666,-6.01262,-1.19892,-1.04454,-9.36982,-2.16326,-2.06949,-12.3783,-3.39954,-3.35767,-15.0942
155,10.6667,34.6667,0.5,-0.0782779,0.073956,-2.00865,-0.507198,-0.271962,-5.867,-1.19915,-0.982236,-9.18382,-2.15526,-1.98715,-12.1484,-3.37633,-3.2557,-14.8211
157,10.6667,37.3333,0.5,-0.0846679,0.0793443,-1.83107,-0.519939,-0.26057,-5.62377,-1.21598,-0.966832,-8.86657,-2.17115,-1.96816,-11.7639,-3.38371,-3.23288,-14.3771
159,10.6667,40.0,0.5,-0.0795806,0.0923689,-1.59881,-0.517532,-0.236366,-5.27759,-1.21753,-0.935896,-8.40392,-2.17408,-1.93234,-11.1979,-3.38229,-3.19271,-13.7211
161,13.3333,2.66667,0.5,-0.0324343,-0.064933,-1.64252,-0.362679,-0.450308,-3.86287,-0.882889,-1.08121,-5.67748,-1.60594,-1.91416,-7.30259,-2.54481,-2.93106,-8.7526
162,13.3333,0.0,0.5,-0.0300917,-0.0608511,-1.41287,-0.319146,-0.402377,-3.31581,-0.760094,-0.944751,-4.80707,-1.36895,-1.65397,-6.14341,-2.15964,-2.5183,-7.34581
165,13.3333,5.33333,0.5,-0.0314001,-0.0506081,-1.83094,-0.388738,-0.451909,-4.33235,-0.967133,-1.13487,-6.44463,-1.7781,-2.05008,-8.3468,-2.83518,-3.17561,-10.0477
167,13.3333,8.0,0.5,-0.0379647,-0.0300716,-1.97732,-0.420436,-0.432465,-4.71917,-1.0462,-1.14293,-7.08979,-1.92553,-2.10817,-9.23664,-3.07234,-3.30381,-11.1652
169,13.3333,10.6667,0.5,-0.0426712,-0.0442698,-2.1051,-0.445156,-0.479277,-5.06474,-1.10742,-1.24303,-7.65946,-2.03784,-2.27828,-10.0128,-3.24972,-3.55818,-12.1295
171,13.3333,13.3333,0.5,-0.0416794,-0.0192246,-2.21788,-0.455705,-0.445085,-5.3898,-1.14264,-1.21726,-8.20305,-2.11023,-2.27605,-10.7647,-3.37237,-3.59377,-13.0809
173,13.3333,16.0,0.5,-0.0517011,-0.0167599,-2.29845,-0.48179,-0.450706,-5.646,-1.19037,-1.24064,-8.62581,-2.18373,-2.32404,-11.337,-3.47484,-3.6721,-13.7902
175,13.3333,18.6667,0.5,-0.0571188,-0.0145147,-2.35945,-0.495151,-0.454398,-5.86464,-1.21423,-1.25648,-8.98597,-2.21968,-2.35582,-11.8216,-3.52343,-3.72285,-14.3884
