node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,6.19906e-41,3.74371e-41,1.77362e-41,1.27955e-40,7.60176e-41,7.84026e-42,1.92608e-40,1.10108e-40,-2.21027e-41,2.51854e-40,1.35794e-40,-7.29712e-41,3.0468e-40,1.51043e-40,-1.41681e-40
2,0.0,2.66667,0.5,0.00101645,-0.00946874,-0.127772,-0.0177248,-0.0431927,-0.399091,-0.0542971,-0.104155,-0.66154,-0.106213,-0.186063,-0.898308,-0.174266,-0.286934,-1.11469
5,2.66667,2.66667,0.5,-0.0062194,-0.0137756,-0.403371,-0.080621,-0.101838,-1.0331,-0.203459,-0.25869,-1.5883,-0.37288,-0.470168,-2.0876,-0.59042,-0.731058,-2.53826
8,2.66667,0.0,0.5,-0.0206422,-0.0259226,-0.267785,-0.088701,-0.100933,-0.616616,-0.184163,-0.214469,-0.888907,-0.306317,-0.357343,-1.12381,-0.454757,-0.525355,-1.32535
9,0.0,5.33333,0.5,-0.00555161,-0.00114848,-0.271076,-0.0575255,-0.0549539,-0.837477,-0.148911,-0.167118,-1.38177,-0.274388,-0.324258,-1.87188,-0.435386,-0.521894,-2.31802
11,2.66667,5.33333,0.5,-0.00237384,-0.0136767,-0.543943,-0.0970277,-0.127389,-1.45656,-0.261165,-0.339623,-2.28852,-0.490694,-0.630169,-3.04013,-0.788196,-0.991843,-3.72256
13,0.0,8.0,0.5,-0.0143356,0.00032151,-0.453391,-0.116741,-0.09139,-1.36408,-0.290428,-0.282634,-2.22648,-0.52692,-0.550942,-2.99508,-0.827311,-0.887462,-3.68234
15,2.66667,8.0,0.5,-0.0151076,-0.00795938,-0.735178,-0.163365,-0.153652,-1.9846,-0.413118,-0.437842,-3.13353,-0.757019,-0.831323,-4.16463,-1.19703,-1.3224,-5.09039
17,0.0,10.6667,0.5,-0.0352349,-0.00361063,-0.672203,-0.212256,-0.148412,-1.97307,-0.499983,-0.441502,-3.18286,-0.886212,-0.848858,-4.24662,-1.37,-1.35488,-5.17757
19,2.66667,10.6667,0.5,-0.0262053,-0.00622217,-0.947607,-0.233989,-0.195617,-2.5654,-0.580389,-0.569515,-4.0522,-1.05515,-1.08863,-5.37687,-1.65906,-1.73569,-6.55197
21,0.0,13.3333,0.5,-0.0488856,0.0165505,-0.901331,-0.295284,-0.16251,-2.62583,-0.694618,-0.544078,-4.21501,-1.23301,-1.08336,-5.60917,-1.90841,-1.75842,-6.82095
23,2.66667,13.3333,0.5,-0.0370503,0.00294986,-1.15616,-0.302631,-0.223585,-3.15323,-0.743258,-0.680822,-4.98436,-1.34729,-1.32025,-6.61088,-2.11498,-2.11961,-8.04573
25,0.0,16.0,0.5,-0.0511365,0.013992,-1.09477,-0.345152,-0.212938,-3.21544,-0.825977,-0.687145,-5.15185,-1.47921,-1.35456,-6.84868,-2.30219,-2.18799,-8.32092
27,2.66667,16.0,0.5,-0.0484342,0.00383802,-1.35261,-0.366733,-0.266082,-3.72334,-0.892089,-0.80913,-5.88647,-1.61253,-1.56809,-7.80335,-2.52807,-2.51616,-9.48907
29,0.0,18.6667,0.5,-0.0606414,0.0142142,-1.26654,-0.40256,-0.253001,-3.76789,-0.960778,-0.807653,-6.0357,-1.72191,-1.588,-8.02435,-2.68342,-2.56269,-9.75147
31,2.66667,18.6667,0.5,-0.0570238,0.00782094,-1.53055,-0.418253,-0.298345,-4.26377,-1.01431,-0.916158,-6.74771,-1.83454,-1.78142,-8.94949,-2.87955,-2.86388,-10.8869
33,0.0,21.3333,0.5,-0.0641218,0.0218047,-1.40886,-0.438704,-0.270484,-4.26188,-1.05286,-0.883532,-6.83692,-1.89584,-1.75024,-9.10287,-2.96655,-2.83704,-11.0812
35,2.66667,21.3333,0.5,-0.0665073,0.0121699,-1.65185,-0.458116,-0.316009,-4.69131,-1.10177,-0.981913,-7.44323,-1.98894,-1.91654,-9.88656,-3.12143,-3.08777,-12.0445
37,0.0,24.0,0.5,-0.0742604,0.00797331,-1.49425,-0.47418,-0.317112,-4.6255,-1.12548,-0.982968,-7.43447,-2.02005,-1.91853,-9.91005,-3.15824,-3.08922,-12.0809
39,2.66667,24.0,0.5,-0.0780122,0.0128034,-1.6975,-0.488535,-0.325432,-4.95814,-1.15707,-1.01368,-7.8947,-2.07712,-1.98009,-10.5033,-3.25141,-3.19206,-12.8159
41,0.0,26.6667,0.5,-0.0876712,0.0245729,-1.52597,-0.507308,-0.293314,-4.87054,-1.18329,-0.963436,-7.8547,-2.10985,-1.91205,-10.4896,-3.28852,-3.10437,-12.8127
43,2.66667,26.6667,0.5,-0.0805268,0.0342772,-1.70742,-0.495291,-0.286994,-5.14356,-1.16985,-0.964824,-8.22139,-2.09946,-1.92526,-10.9562,-3.28739,-3.13551,-13.3891
45,0.0,29.3333,0.5,-0.0838057,0.0372338,-1.49594,-0.501018,-0.27033,-4.97947,-1.17576,-0.935786,-8.0702,-2.10403,-1.88358,-10.8031,-3.2879,-3.079,-13.2256
47,2.66667,29.3333,0.5,-0.078796,0.0408098,-1.67119,-0.490823,-0.273875,-5.22527,-1.16242,-0.948284,-8.38984,-2.09021,-1.9072,-11.2006,-3.2774,-3.11793,-13.7083
