node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,-3.84542e-40,-4.02041e-40,-4.8349e-41,-7.6822e-40,-8.00815e-40,-1.53942e-40,-1.15047e-39,-1.20476e-39,-3.02027e-40,-1.53602e-39,-1.54244e-39,-5.84882e-40,-1.91776e-39,-1.85814e-39,-9.21769e-40
2,0.0,2.66667,0.5,-0.0140013,0.00958447,0.161689,-0.019818,0.011783,0.293756,-0.0204142,0.00328246,0.445988,-0.0182683,-0.0185967,0.614971,-0.0146635,-0.0552905,0.794019
5,2.66667,2.66667,0.5,-0.000563721,0.0150657,0.224298,0.00776238,0.0162881,0.361121,0.0208671,-0.000787905,0.533596,0.0360164,-0.0387536,0.733415,0.0517886,-0.0987343,0.947092
8,2.66667,0.0,0.5,0.0142841,0.0139901,0.0721903,0.0282583,0.0193389,0.0845523,0.0407151,0.0145513,0.1147,0.0514106,-0.000619797,0.157889,0.0602364,-0.0261411,0.207002
9,0.0,5.33333,0.5,-0.0220522,0.0225257,0.248795,-0.0296037,0.0338583,0.435271,-0.0270258,0.0291374,0.663958,-0.0180634,0.00450362,0.928616,-0.00491097,-0.042194,1.2163
11,2.66667,5.33333,0.5,-0.0100295,0.027252,0.309356,-0.00477952,0.0397566,0.502444,0.0103945,0.0313844,0.750897,0.0316062,-0.00181959,1.04355,0.0566462,-0.0617886,1.36098
13,0.0,8.0,0.5,-0.0216099,0.0376232,0.266187,-0.0272246,0.0609333,0.431844,-0.0209343,0.0652331,0.663587,-0.00626868,0.0469772,0.952096,0.0144007,0.00413115,1.2775
15,2.66667,8.0,0.5,-0.0157975,0.041668,0.314731,-0.0150609,0.0692906,0.479992,-0.00250155,0.0766355,0.722425,0.0183892,0.0596262,1.0286,0.0452498,0.0159653,1.37307
17,0.0,10.6667,0.5,-0.0365113,0.0265128,0.243886,-0.0587025,0.0360034,0.344681,-0.06943,0.0248257,0.539108,-0.0712421,-0.00962865,0.813727,-0.0663359,-0.06914,1.14049
19,2.66667,10.6667,0.5,-0.0251588,0.0426674,0.27273,-0.0359508,0.0698507,0.358663,-0.0354565,0.0765358,0.546877,-0.0259936,0.0597011,0.821249,-0.00974235,0.0172768,1.14936
21,0.0,13.3333,0.5,-0.0577109,0.0599603,0.212774,-0.104029,0.100563,0.229136,-0.140325,0.11918,0.366378,-0.167902,0.114342,0.607862,-0.188592,0.0846105,0.917249
23,2.66667,13.3333,0.5,-0.0287811,0.0714504,0.23437,-0.0464834,0.126102,0.236231,-0.0544448,0.159918,0.365637,-0.0536806,0.170904,0.604175,-0.0460114,0.157188,0.911959
25,0.0,16.0,0.5,-0.0537325,0.0942555,0.175922,-0.0993093,0.166542,0.0943176,-0.136663,0.215214,0.161635,-0.165943,0.24004,0.357472,-0.188598,0.239916,0.636551
27,2.66667,16.0,0.5,-0.0332741,0.08469,0.197515,-0.058731,0.151145,0.111512,-0.0760701,0.196264,0.179724,-0.0851405,0.219171,0.380297,-0.0873764,0.218256,0.664942
29,0.0,18.6667,0.5,-0.04679,0.101315,0.111051,-0.0898423,0.175339,-0.0998025,-0.127553,0.222328,-0.131156,-0.158938,0.24392,-0.00990547,-0.184999,0.239523,0.208405
31,2.66667,18.6667,0.5,-0.0366237,0.106114,0.125977,-0.070174,0.189686,-0.0891191,-0.0986528,0.249378,-0.123788,-0.120786,0.286122,-0.00460737,-0.137596,0.298713,0.211078
33,0.0,21.3333,0.5,-0.0540776,0.106888,-0.00834529,-0.110734,0.17532,-0.402196,-0.166966,0.209662,-0.580848,-0.220652,0.214555,-0.580731,-0.272184,0.190045,-0.46885
35,2.66667,21.3333,0.5,-0.0294648,0.115602,-0.00487112,-0.0625046,0.197464,-0.408075,-0.0955661,0.248348,-0.600558,-0.126254,0.272438,-0.615761,-0.155032,0.269374,-0.520795
37,0.0,24.0,0.5,-0.0546338,0.137398,-0.158691,-0.118029,0.222052,-0.769542,-0.186488,0.263175,-1.13096,-0.257114,0.268578,-1.29041,-0.32974,0.238653,-1.32666
39,2.66667,24.0,0.5,-0.033801,0.122238,-0.167105,-0.0776972,0.195294,-0.787327,-0.127241,0.227509,-1.16321,-0.179126,0.226901,-1.33697,-0.23311,0.193987,-1.38606
41,0.0,26.6667,0.5,-0.0392618,0.147442,-0.285245,-0.0916802,0.23219,-1.0854,-0.153641,0.267234,-1.60216,-0.222027,0.262822,-1.89498,-0.296255,0.219498,-2.05425
43,2.66667,26.6667,0.5,-0.0363314,0.143668,-0.286795,-0.0868614,0.228695,-1.08229,-0.147278,0.267074,-1.60284,-0.214178,0.269271,-1.90023,-0.287006,0.236076,-2.06227
45,0.0,29.3333,0.5,-0.0364623,0.136984,-0.39204,-0.088337,0.203247,-1.36098,-0.152951,0.214352,-2.01635,-0.22744,0.182185,-2.42946,-0.31086,0.107013,-2.70181
47,2.66667,29.3333,0.5,-0.0299334,0.143507,-0.409422,-0.0758959,0.218415,-1.38091,-0.13483,0.240156,-2.04846,-0.203646,0.221293,-2.47404,-0.281407,0.162522,-2.75582
49,0.0,32.0,0.5,-0.0449571,0.144289,-0.468616,-0.10661,0.211769,-1.57286,-0.183433,0.220165,-2.33354,-0.273196,0.182933,-2.83268,-0.374905,0.100317,-3.18265
51,2.66667,32.0,0.5,-0.0271207,0.155261,-0.513541,-0.0715027,0.234421,-1.63881,-0.131813,0.256149,-2.43023,-0.205615,0.235043,-2.95952,-0.291782,0.17186,-3.33513
53,0.0,34.6667,0.5,-0.0537698,0.152399,-0.482913,-0.125769,0.226826,-1.64799,-0.214447,0.241949,-2.4318,-0.3178,0.211894,-2.92556,-0.434726,0.136689,-3.2521
55,2.66667,34.6667,0.5,-0.0388902,0.155036,-0.524526,-0.0961794,0.233302,-1.70349,-0.1708,0.253954,-2.51489,-0.260746,0.231883,-3.03925,-0.364874,0.167478,-3.39478
57,0.0,37.3333,0.5,-0.0742875,0.157006,-0.487897,-0.168773,0.235105,-1.6983,-0.281487,0.253757,-2.48791,-0.410338,0.227329,-2.95633,-0.553887,0.155196,-3.2362
