node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,-3.85127e-40,-4.01497e-40,-4.41829e-41,-7.73225e-40,-8.00479e-40,-1.41265e-40,-1.16484e-39,-1.17722e-39,-3.11928e-40,-1.56217e-39,-1.52485e-39,-5.56283e-40,-1.96421e-39,-1.8191e-39,-8.85506e-40
2,0.0,2.66667,0.5,-0.0105899,0.00982701,0.15753,-0.00934561,0.0110972,0.300275,0.00169602,0.000461417,0.462988,0.0200314,-0.0250487,0.642249,0.0430024,-0.0673834,0.832163
5,2.66667,2.66667,0.5,0.0032761,0.0132046,0.199701,0.0189282,0.00884789,0.332258,0.0441602,-0.0174676,0.497131,0.0762639,-0.0685304,0.687881,0.11221,-0.145896,0.89585
8,2.66667,0.0,0.5,0.014739,0.0118309,0.052127,0.0291286,0.012326,0.0505692,0.0424265,5.89326e-05,0.0638011,0.05447,-0.0251591,0.0888389,0.0648404,-0.0632863,0.122705
9,0.0,5.33333,0.5,-0.0158045,0.0229759,0.240954,-0.0106051,0.0329694,0.449851,0.012929,0.0250202,0.700625,0.0510731,-0.0053424,0.987155,0.0995545,-0.0612347,1.29837
11,2.66667,5.33333,0.5,-0.00342579,0.0254951,0.280401,0.0148093,0.0319578,0.47922,0.0514117,0.0133002,0.729759,0.102552,-0.0348644,1.02295,0.163741,-0.115258,1.34513
13,0.0,8.0,0.5,-0.0131184,0.0380734,0.255446,-0.00173423,0.0600086,0.456815,0.0323598,0.0609395,0.723738,0.0857205,0.0364289,1.04731,0.153738,-0.0167968,1.41112
15,2.66667,8.0,0.5,-0.0070148,0.0400631,0.282068,0.0108573,0.0618033,0.464149,0.0515015,0.0589944,0.719461,0.111558,0.0269229,1.03699,0.186343,-0.0377123,1.3983
17,0.0,10.6667,0.5,-0.026085,0.0272155,0.231527,-0.0279296,0.036006,0.3833,-0.0056276,0.0224727,0.627838,0.0384434,-0.0171362,0.95252,0.0999613,-0.0859686,1.33458
19,2.66667,10.6667,0.5,-0.0146576,0.0409971,0.237353,-0.00537676,0.0627134,0.352554,0.0277217,0.0600857,0.565632,0.0825411,0.0292582,0.86322,0.154836,-0.032909,1.22141
21,0.0,13.3333,0.5,-0.045334,0.0607515,0.200076,-0.068026,0.101355,0.28458,-0.0662015,0.118883,0.488653,-0.040784,0.110488,0.796892,0.00459995,0.0733229,1.18047
23,2.66667,13.3333,0.5,-0.016403,0.0700357,0.197291,-0.010862,0.119941,0.242112,0.0186294,0.145563,0.409432,0.0714606,0.143838,0.683879,0.144088,0.111756,1.03599
25,0.0,16.0,0.5,-0.0393378,0.0955019,0.164022,-0.0581903,0.168854,0.167867,-0.0528586,0.217952,0.317466,-0.0228867,0.240878,0.594332,0.0288423,0.23511,0.963437
27,2.66667,16.0,0.5,-0.018946,0.0832965,0.160041,-0.0180511,0.145545,0.13145,0.00664299,0.183459,0.250759,0.0558777,0.194858,0.499541,0.126801,0.176979,0.842143
29,0.0,18.6667,0.5,-0.0305206,0.102797,0.101496,-0.0447003,0.179048,-0.0067175,-0.0370979,0.228236,0.0579366,-0.00598656,0.25,0.271807,0.0465258,0.242519,0.592784
31,2.66667,18.6667,0.5,-0.0204788,0.105124,0.0893551,-0.0255255,0.185758,-0.0538717,-0.00940064,0.240188,-0.0251604,0.0298794,0.267776,0.153122,0.0902291,0.266343,0.438918
33,0.0,21.3333,0.5,-0.0363108,0.109068,-0.0139355,-0.0637572,0.181833,-0.288178,-0.0752585,0.221178,-0.358703,-0.0677735,0.229323,-0.25646,-0.042374,0.205529,-0.0313095
35,2.66667,21.3333,0.5,-0.0119488,0.114765,-0.0393893,-0.0163857,0.195209,-0.357246,-0.00599735,0.243155,-0.476546,0.0224387,0.260822,-0.425098,0.0678485,0.24729,-0.25164
37,0.0,24.0,0.5,-0.0355026,0.139998,-0.159169,-0.0705513,0.230875,-0.634788,-0.0970774,0.279377,-0.878794,-0.111169,0.290403,-0.930353,-0.11301,0.264135,-0.846873
39,2.66667,24.0,0.5,-0.0150844,0.121999,-0.198342,-0.0315806,0.195723,-0.720648,-0.0410429,0.227673,-1.01533,-0.039155,0.223415,-1.11703,-0.0258395,0.183432,-1.08141
41,0.0,26.6667,0.5,-0.0183965,0.150731,-0.28061,-0.0428545,0.243183,-0.932852,-0.0648712,0.287046,-1.32682,-0.0801917,0.289236,-1.51064,-0.0883984,0.250586,-1.54894
43,2.66667,26.6667,0.5,-0.0158107,0.143635,-0.314069,-0.038889,0.230408,-1.00065,-0.0604624,0.269765,-1.43431,-0.0759628,0.269334,-1.65721,-0.0847764,0.230293,-1.73179
45,0.0,29.3333,0.5,-0.0136201,0.140461,-0.382235,-0.0377461,0.215186,-1.19221,-0.0641252,0.235749,-1.72099,-0.0886863,0.210328,-2.02576,-0.110675,0.139921,-2.17788
47,2.66667,29.3333,0.5,-0.0075823,0.144071,-0.43238,-0.0267597,0.221989,-1.28594,-0.0492224,0.245818,-1.86358,-0.0705748,0.224796,-2.21574,-0.0898063,0.160364,-2.41156
49,0.0,32.0,0.5,-0.0198588,0.148165,-0.456455,-0.0530201,0.224798,-1.39475,-0.0916176,0.24314,-2.02899,-0.132031,0.212615,-2.42492,-0.173398,0.13446,-2.66079
51,2.66667,32.0,0.5,-0.00304304,0.156139,-0.532731,-0.0211178,0.239117,-1.53275,-0.0465572,0.263556,-2.23283,-0.0753167,0.240281,-2.69175,-0.106123,0.171048,-2.98554
53,0.0,34.6667,0.5,-0.0315053,0.15437,-0.471421,-0.0775663,0.235993,-1.46763,-0.129442,0.259076,-2.12872,-0.183321,0.23381,-2.52871,-0.23798,0.161485,-2.7534
55,2.66667,34.6667,0.5,-0.00958419,0.154919,-0.540404,-0.0347825,0.236108,-1.58781,-0.067365,0.258581,-2.30686,-0.103386,0.233486,-2.76455,-0.14141,0.162433,-3.04415
57,0.0,37.3333,0.5,-0.0361722,0.186072,-0.458818,-0.0869842,0.299078,-1.47856,-0.141994,0.353291,-2.12766,-0.19672,0.35873,-2.48789,-0.249328,0.315966,-2.65298
59,2.66667,37.3333,0.5,-0.017264,0.185529,-0.497807,-0.04911,0.29764,-1.54065,-0.0855974,0.350309,-2.22549,-0.122364,0.354005,-2.62691,-0.157617,0.30962,-2.83546
61,0.0,40.0,0.5,-0.0297383,0.198171,-0.485835,-0.0742454,0.321576,-1.57024,-0.122215,0.385852,-2.25293,-0.168971,0.401783,-2.62376,-0.212393,0.369826,-2.78436
63,2.66667,40.0,0.5,-0.0170251,0.195589,-0.497285,-0.049314,0.317247,-1.57777,-0.0856824,0.379305,-2.27181,-0.121513,0.39242,-2.66186,-0.154747,0.357197,-2.84584
