node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,3.66381e-40,3.61012e-40,-1.0613e-40,6.82002e-40,6.54973e-40,-4.53047e-40,8.40596e-40,7.88906e-40,-1.07206e-39,7.56774e-40,7.08648e-40,-1.82907e-39,4.03224e-40,4.05078e-40,-2.57487e-39
2,0.0,2.66667,0.5,-0.0111788,-0.01965,-0.413208,-0.0742899,-0.10979,-0.834365,-0.249535,-0.294356,-1.26935,-0.510281,-0.537684,-1.60315,-0.826444,-0.816398,-1.82127
5,2.66667,2.66667,0.5,-0.0200079,-0.0599374,-0.757595,-0.14964,-0.264238,-1.55531,-0.528431,-0.686841,-2.48403,-1.11359,-1.25832,-3.22336,-1.84002,-1.92254,-3.69622
8,2.66667,0.0,0.5,-0.0113887,-0.0430257,-0.353806,-0.0885662,-0.168222,-0.751119,-0.318547,-0.429264,-1.26599,-0.680696,-0.785596,-1.67343,-1.13286,-1.1977,-1.90638
9,0.0,5.33333,0.5,-0.0123751,-0.0308368,-0.744663,-0.110939,-0.18559,-1.52996,-0.411885,-0.51398,-2.38019,-0.870903,-0.954473,-3.05747,-1.43627,-1.46835,-3.53508
11,2.66667,5.33333,0.5,-0.0183067,-0.0665446,-1.07589,-0.170423,-0.319666,-2.20627,-0.640677,-0.855803,-3.5143,-1.37396,-1.5873,-4.58459,-2.29172,-2.44987,-5.33336
13,0.0,8.0,0.5,-0.00913723,-0.0371265,-1.00252,-0.129303,-0.240134,-2.10947,-0.52873,-0.687394,-3.36972,-1.15063,-1.29736,-4.39989,-1.92478,-2.01853,-5.16057
15,2.66667,8.0,0.5,-0.0123728,-0.0660137,-1.31965,-0.172858,-0.349045,-2.73424,-0.704054,-0.971316,-4.40364,-1.54396,-1.83197,-5.8023,-2.60402,-2.8609,-6.83997
17,0.0,10.6667,0.5,-0.00474811,-0.0394488,-1.19407,-0.140126,-0.278224,-2.59001,-0.620743,-0.827135,-4.26365,-1.38126,-1.58969,-5.65867,-2.33536,-2.50175,-6.72106
19,2.66667,10.6667,0.5,-0.00582734,-0.0612574,-1.49697,-0.16902,-0.361987,-3.15862,-0.743265,-1.05249,-5.17962,-1.66299,-2.02231,-6.90428,-2.83147,-3.19568,-8.23517
21,0.0,13.3333,0.5,-0.00105026,-0.0394172,-1.32494,-0.148742,-0.30407,-2.97824,-0.694688,-0.9389,-5.06266,-1.56923,-1.83918,-6.82979,-2.67481,-2.92945,-8.20986
23,2.66667,13.3333,0.5,-0.000129269,-0.0531839,-1.61254,-0.163983,-0.361548,-3.48625,-0.767473,-1.10311,-5.8453,-1.74425,-2.16242,-7.88898,-2.99215,-3.45892,-9.51253
25,0.0,16.0,0.5,0.00118781,-0.0368037,-1.39856,-0.156995,-0.317349,-3.27005,-0.749975,-1.01705,-5.74157,-1.70801,-2.03127,-7.87143,-2.92907,-3.27812,-9.57657
27,2.66667,16.0,0.5,0.00395703,-0.0439046,-1.66807,-0.160114,-0.352012,-3.71261,-0.779996,-1.12541,-6.37937,-1.79104,-2.24922,-8.72005,-3.08922,-3.64072,-10.6245
29,0.0,18.6667,0.5,0.00187644,-0.0329621,-1.41609,-0.164985,-0.320843,-3.45226,-0.785096,-1.05909,-6.25392,-1.79132,-2.14986,-8.7037,-3.08224,-3.51062,-10.7124
31,2.66667,18.6667,0.5,0.00657483,-0.0335362,-1.66251,-0.157696,-0.334195,-3.82429,-0.782217,-1.11712,-6.74228,-1.80552,-2.27276,-9.33124,-3.12439,-3.71893,-11.4796
33,0.0,21.3333,0.5,0.00176323,-0.0271051,-1.37718,-0.171779,-0.314531,-3.50865,-0.801909,-1.0637,-6.55005,-1.82492,-2.18639,-9.23592,-3.14132,-3.60155,-11.4778
