node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,3.63802e-40,3.58815e-40,-1.13437e-40,6.86605e-40,6.39199e-40,-4.68576e-40,8.24444e-40,7.52196e-40,-1.10715e-39,6.67708e-40,7.26527e-40,-1.86094e-39,1.79236e-40,5.72962e-40,-2.57457e-39
2,0.0,2.66667,0.5,-0.012884,-0.0243502,-0.44226,-0.0756449,-0.146556,-0.939616,-0.286663,-0.349634,-1.36041,-0.598837,-0.52983,-1.56111,-0.954271,-0.689244,-1.61208
5,2.66667,2.66667,0.5,-0.0198581,-0.064362,-0.772201,-0.139099,-0.314273,-1.61321,-0.572922,-0.766153,-2.58142,-1.28351,-1.23087,-3.28794,-2.16576,-1.68619,-3.70026
8,2.66667,0.0,0.5,-0.00958176,-0.0429658,-0.340036,-0.0765569,-0.183343,-0.705117,-0.326389,-0.456208,-1.27131,-0.762682,-0.765057,-1.77499,-1.32916,-1.08191,-2.11161
9,0.0,5.33333,0.5,-0.0160755,-0.0392806,-0.803396,-0.115669,-0.252647,-1.74128,-0.483454,-0.614865,-2.56319,-1.03562,-0.934449,-2.97443,-1.67017,-1.21797,-3.11944
11,2.66667,5.33333,0.5,-0.0200182,-0.0746847,-1.11845,-0.163115,-0.397542,-2.36626,-0.718316,-0.976381,-3.7032,-1.6189,-1.54924,-4.61556,-2.72652,-2.10185,-5.14495
13,0.0,8.0,0.5,-0.0152151,-0.0488719,-1.09199,-0.138184,-0.331971,-2.42436,-0.62798,-0.823815,-3.63546,-1.37342,-1.25688,-4.26273,-2.23632,-1.64124,-4.52516
15,2.66667,8.0,0.5,-0.0160759,-0.0770121,-1.38991,-0.169116,-0.448173,-2.99161,-0.808066,-1.12203,-4.67557,-1.84733,-1.77635,-5.79271,-3.12336,-2.40317,-6.45702
17,0.0,10.6667,0.5,-0.0136459,-0.0534689,-1.31551,-0.152714,-0.38815,-3.00103,-0.737707,-0.98574,-4.59185,-1.64064,-1.51398,-5.44037,-2.69368,-1.9841,-5.83785
19,2.66667,10.6667,0.5,-0.0122496,-0.074804,-1.59577,-0.169386,-0.477317,-3.50612,-0.866641,-1.22392,-5.51928,-2.00906,-1.94282,-6.83917,-3.41315,-2.62968,-7.64768
21,0.0,13.3333,0.5,-0.0133182,-0.0552917,-1.47999,-0.164248,-0.426831,-3.47428,-0.819869,-1.10831,-5.42811,-1.84688,-1.7161,-6.49824,-3.0553,-2.26105,-7.04435
23,2.66667,13.3333,0.5,-0.00994112,-0.0680399,-1.74255,-0.16859,-0.486872,-3.91604,-0.903297,-1.28488,-6.23641,-2.11907,-2.05248,-7.75412,-3.61799,-2.787,-8.71274
25,0.0,16.0,0.5,-0.0146475,-0.052998,-1.58913,-0.174587,-0.446573,-3.84085,-0.877369,-1.18769,-6.13089,-1.99479,-1.85622,-7.41599,-3.32286,-2.46253,-8.11904
27,2.66667,16.0,0.5,-0.0100692,-0.0596689,-1.83545,-0.16969,-0.483861,-4.22185,-0.923697,-1.31378,-6.81813,-2.18509,-2.11457,-8.52145,-3.74781,-2.8844,-9.63021
29,0.0,18.6667,0.5,-0.0175631,-0.0497734,-1.64496,-0.18509,-0.455296,-4.09535,-0.914383,-1.23472,-6.68724,-2.09015,-1.94554,-8.17537,-3.50162,-2.59764,-9.03616
31,2.66667,18.6667,0.5,-0.0120169,-0.0482508,-1.87827,-0.173112,-0.467449,-4.42275,-0.931154,-1.30997,-7.25703,-2.212,-2.12719,-9.12763,-3.80746,-2.91733,-10.3788
33,0.0,21.3333,0.5,-0.0218918,-0.0446832,-1.64834,-0.197885,-0.453982,-4.23509,-0.93914,-1.25306,-7.09676,-2.14782,-1.98948,-8.78296,-3.61273,-2.67138,-9.80248
35,2.66667,21.3333,0.5,-0.01551,-0.037612,-1.87335,-0.180373,-0.447513,-4.51921,-0.932216,-1.29009,-7.5546,-2.21121,-2.11286,-9.5768,-3.81277,-2.91268,-10.96
37,0.0,24.0,0.5,-0.028143,-0.042033,-1.60002,-0.216439,-0.453814,-4.26045,-0.962244,-1.26114,-7.36572,-2.18628,-2.01362,-9.26183,-3.68469,-2.71608,-10.4527
39,2.66667,24.0,0.5,-0.0209997,-0.0266253,-1.82069,-0.19472,-0.42447,-4.51128,-0.937085,-1.25715,-7.71674,-2.20023,-2.07741,-9.88739,-3.78968,-2.87976,-11.4008
41,0.0,26.6667,0.5,-0.0375814,-0.0407339,-1.5007,-0.245354,-0.455529,-4.17324,-0.995514,-1.2615,-7.49655,-2.2226,-2.02198,-9.62895,-3.74092,-2.74039,-11.0207
43,2.66667,26.6667,0.5,-0.0296394,-0.0190828,-1.71808,-0.220198,-0.40797,-4.39657,-0.956356,-1.22585,-7.74225,-2.19519,-2.03856,-10.0691,-3.7605,-2.84031,-11.7234
45,0.0,29.3333,0.5,-0.0513587,-0.0436006,-1.34989,-0.288149,-0.467117,-3.97241,-1.04794,-1.26661,-7.47209,-2.2655,-2.02624,-9.85574,-3.78502,-2.75692,-11.4788
47,2.66667,29.3333,0.5,-0.0430822,-0.0134754,-1.56196,-0.261425,-0.397675,-4.16948,-1.00142,-1.19665,-7.61428,-2.2117,-1.99264,-10.0964,-3.74165,-2.7861,-11.9003
49,0.0,32.0,0.5,-0.0701369,-0.048584,-1.14512,-0.34712,-0.487595,-3.65225,-1.12854,-1.27922,-7.25841,-2.32803,-2.02405,-9.86474,-3.82448,-2.75265,-11.7164
51,2.66667,32.0,0.5,-0.0617349,-0.0124579,-1.348,-0.320177,-0.401645,-3.82202,-1.08044,-1.18479,-7.3049,-2.26459,-1.95584,-9.91107,-3.75005,-2.72944,-11.848
53,0.0,34.6667,0.5,-0.0930241,-0.0574824,-0.881169,-0.42102,-0.523647,-3.2031,-1.24294,-1.3173,-6.82103,-2.42952,-2.04098,-9.56751,-3.88881,-2.75009,-11.5868
55,2.66667,34.6667,0.5,-0.0852742,-0.0147093,-1.07302,-0.396306,-0.420888,-3.34725,-1.19984,-1.19955,-6.78978,-2.37349,-1.94501,-9.45354,-3.81863,-2.69007,-11.4685
57,0.0,37.3333,0.5,-0.117658,-0.0699376,-0.548881,-0.505147,-0.578617,-2.6102,-1.39188,-1.39574,-6.13737,-2.58948,-2.11107,-8.91406,-4.02482,-2.80183,-10.9987
59,2.66667,37.3333,0.5,-0.110722,-0.0230049,-0.736783,-0.483077,-0.464045,-2.74556,-1.35414,-1.26154,-6.0682,-2.54349,-1.99831,-8.71128,-3.96928,-2.72433,-10.7328
61,0.0,40.0,0.5,-0.138306,-0.0900956,-0.135792,-0.585416,-0.665441,-1.8549,-1.55627,-1.5393,-5.19409,-2.7921,-2.27826,-7.89467,-4.22963,-2.97808,-9.93852
63,2.66667,40.0,0.5,-0.134065,-0.039839,-0.331141,-0.570045,-0.540792,-2.00407,-1.52946,-1.39079,-5.13216,-2.7637,-2.15103,-7.68277,-4.20018,-2.8869,-9.64493
65,5.33333,2.66667,0.5,-0.0182548,-0.0899211,-1.00978,-0.164958,-0.426014,-2.11957,-0.747774,-1.06606,-3.58884,-1.74805,-1.75467,-4.7922,-3.03284,-2.45145,-5.60702
66,5.33333,0.0,0.5,-0.0126088,-0.0726884,-0.596105,-0.123052,-0.317415,-1.26698,-0.563246,-0.815156,-2.37389,-1.35148,-1.38634,-3.38583,-2.39125,-1.97894,-4.1029
69,5.33333,5.33333,0.5,-0.0147847,-0.0961208,-1.33527,-0.172862,-0.487872,-2.80719,-0.839254,-1.22049,-4.59366,-1.97026,-1.98216,-5.97657,-3.40949,-2.74429,-6.91028
71,5.33333,8.0,0.5,-0.00904392,-0.0949001,-1.58565,-0.167789,-0.519357,-3.36353,-0.884841,-1.31604,-5.43957,-2.10125,-2.12839,-6.99478,-3.64375,-2.93675,-8.05571
73,5.33333,10.6667,0.5,-0.00339221,-0.0875219,-1.77064,-0.158482,-0.527785,-3.80874,-0.905252,-1.3683,-6.1537,-2.17764,-2.21684,-7.87626,-3.78923,-3.05901,-9.06738
75,5.33333,13.3333,0.5,-0.000475225,-0.0773478,-1.89677,-0.152057,-0.521786,-4.15019,-0.913894,-1.39005,-6.74018,-2.22016,-2.26396,-8.62319,-3.87552,-3.13152,-9.94536
77,5.33333,16.0,0.5,-0.000263886,-0.0630296,-1.96872,-0.149861,-0.500014,-4.38781,-0.914565,-1.37792,-7.18833,-2.23394,-2.2629,-9.21615,-3.90907,-3.1442,-10.6643
79,5.33333,18.6667,0.5,-0.00245499,-0.0475301,-1.9947,-0.152262,-0.470283,-4.52892,-0.910018,-1.34382,-7.49907,-2.22265,-2.22716,-9.6472,-3.89248,-3.11018,-11.2057
81,5.33333,21.3333,0.5,-0.00563351,-0.0296078,-1.98203,-0.158101,-0.43271,-4.58387,-0.902874,-1.2911,-7.68601,-2.19325,-2.16278,-9.93087,-3.83648,-3.03744,-11.5797
83,5.33333,24.0,0.5,-0.00999349,-0.0143297,-1.93004,-0.16947,-0.399028,-4.55276,-0.900449,-1.2391,-7.7567,-2.15969,-2.09654,-10.0865,-3.76376,-2.96023,-11.8141
85,5.33333,26.6667,0.5,-0.0177853,-0.0009225,-1.82988,-0.192746,-0.369661,-4.42176,-0.916589,-1.1891,-7.69636,-2.14302,-2.02928,-10.1061,-3.70316,-2.87944,-11.91
87,5.33333,29.3333,0.5,-0.0304198,0.00752935,-1.67183,-0.232311,-0.352972,-4.17555,-0.961904,-1.15398,-7.48075,-2.15895,-1.97457,-9.96013,-3.67378,-2.8081,-11.8362
