node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,3.66058e-40,3.61234e-40,-1.10721e-40,6.86608e-40,6.53871e-40,-4.60161e-40,8.56587e-40,7.84231e-40,-1.07701e-39,7.81812e-40,7.24543e-40,-1.82991e-39,3.95053e-40,4.61337e-40,-2.58503e-39
2,0.0,2.66667,0.5,-0.017873,-0.019677,-0.416362,-0.0843468,-0.121069,-0.870661,-0.257223,-0.314253,-1.30727,-0.524117,-0.544559,-1.61042,-0.865841,-0.794589,-1.7831
5,2.66667,2.66667,0.5,-0.0255592,-0.0520995,-0.746927,-0.15386,-0.269341,-1.56672,-0.512563,-0.695316,-2.47496,-1.09294,-1.22933,-3.19943,-1.86203,-1.83081,-3.6809
8,2.66667,0.0,0.5,-0.00947819,-0.03506,-0.343508,-0.0815271,-0.162438,-0.731195,-0.291918,-0.417489,-1.22163,-0.641903,-0.748149,-1.6453,-1.11304,-1.12679,-1.9346
9,0.0,5.33333,0.5,-0.0255595,-0.0320085,-0.754908,-0.131695,-0.20858,-1.60952,-0.429156,-0.553734,-2.4597,-0.900178,-0.970264,-3.07275,-1.51646,-1.43032,-3.46033
11,2.66667,5.33333,0.5,-0.0267759,-0.0549739,-1.05458,-0.174641,-0.323324,-2.22955,-0.614084,-0.861366,-3.51309,-1.33482,-1.53585,-4.53589,-2.30096,-2.30184,-5.25387
13,0.0,8.0,0.5,-0.0288625,-0.0408647,-1.02994,-0.161273,-0.277458,-2.25217,-0.5572,-0.751835,-3.5106,-1.19798,-1.33144,-4.44287,-2.0502,-1.98106,-5.07247
15,2.66667,8.0,0.5,-0.0233959,-0.059934,-1.29432,-0.177181,-0.3693,-2.77792,-0.668643,-1.00009,-4.41067,-1.48964,-1.79363,-5.72006,-2.60417,-2.70262,-6.6793
17,0.0,10.6667,0.5,-0.0329427,-0.0483093,-1.25332,-0.186593,-0.336094,-2.82185,-0.663948,-0.926745,-4.48875,-1.44813,-1.65542,-5.74476,-2.50112,-2.47973,-6.62891
19,2.66667,10.6667,0.5,-0.025077,-0.0614597,-1.49659,-0.187666,-0.403856,-3.27358,-0.726945,-1.11694,-5.25262,-1.63854,-2.01785,-6.84616,-2.88527,-3.05581,-8.04574
21,0.0,13.3333,0.5,-0.0395112,-0.0515185,-1.42753,-0.21174,-0.379365,-3.3158,-0.752804,-1.06928,-5.38176,-1.65039,-1.927,-6.95577,-2.86261,-2.90234,-8.09571
23,2.66667,13.3333,0.5,-0.0335848,-0.0626993,-1.67134,-0.210067,-0.434819,-3.73186,-0.793809,-1.22526,-6.05614,-1.78708,-2.22757,-7.93181,-3.15113,-3.3861,-9.36921
