node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,3.63229e-40,3.57435e-40,-1.0928e-40,6.74282e-40,6.27794e-40,-4.60667e-40,8.53412e-40,7.21439e-40,-1.09376e-39,8.33467e-40,6.2114e-40,-1.8068e-39,5.81393e-40,3.58278e-40,-2.52435e-39
2,0.0,2.66667,0.5,-0.00819345,-0.0260819,-0.45268,-0.0754355,-0.164506,-0.9869,-0.23056,-0.373188,-1.41049,-0.452316,-0.619105,-1.7226,-0.715923,-0.871933,-1.92133
5,2.66667,2.66667,0.5,-0.011225,-0.0664733,-0.749303,-0.151061,-0.362447,-1.69811,-0.489151,-0.833073,-2.5597,-0.989523,-1.40691,-3.22146,-1.60442,-2.01778,-3.65234
8,2.66667,0.0,0.5,-0.00563164,-0.043512,-0.307648,-0.0903967,-0.215312,-0.746146,-0.299358,-0.501572,-1.20265,-0.614693,-0.857753,-1.55471,-1.00783,-1.24132,-1.76952
9,0.0,5.33333,0.5,-0.00761009,-0.0424392,-0.826011,-0.114374,-0.287107,-1.84471,-0.377631,-0.661743,-2.67026,-0.761307,-1.10789,-3.29937,-1.22174,-1.57213,-3.7283
11,2.66667,5.33333,0.5,-0.00767434,-0.0783802,-1.10575,-0.171898,-0.460905,-2.50084,-0.584507,-1.06513,-3.73166,-1.1979,-1.80123,-4.69652,-1.95155,-2.58732,-5.36724
13,0.0,8.0,0.5,-0.00369355,-0.0537572,-1.12967,-0.135345,-0.383488,-2.59843,-0.479379,-0.897079,-3.81385,-0.987703,-1.51395,-4.76147,-1.60003,-2.16066,-5.43562
15,2.66667,8.0,0.5,-0.000386328,-0.0821678,-1.3895,-0.172981,-0.526541,-3.18745,-0.629695,-1.23418,-4.76545,-1.31411,-2.09987,-6.02489,-2.15479,-3.02873,-6.94
17,0.0,10.6667,0.5,0.000429851,-0.0599644,-1.373,-0.147493,-0.457264,-3.2679,-0.552521,-1.08939,-4.86749,-1.15639,-1.85518,-6.13496,-1.88391,-2.66275,-7.06354
19,2.66667,10.6667,0.5,0.00634123,-0.0819944,-1.60887,-0.166685,-0.571967,-3.77551,-0.648082,-1.36276,-5.68208,-1.37417,-2.33472,-7.2231,-2.26339,-3.3813,-8.37557
21,0.0,13.3333,0.5,0.00244834,-0.0646561,-1.5623,-0.155558,-0.516366,-3.85775,-0.602385,-1.2494,-5.82894,-1.27209,-2.14373,-7.40893,-2.07731,-3.09131,-8.59228
23,2.66667,13.3333,0.5,0.011595,-0.0768752,-1.76984,-0.155876,-0.596641,-4.27212,-0.64451,-1.44991,-6.48535,-1.38533,-2.50385,-8.2894,-2.28806,-3.64212,-9.66545
25,0.0,16.0,0.5,0.000942616,-0.064613,-1.70341,-0.161392,-0.554361,-4.36608,-0.628889,-1.36488,-6.68412,-1.33143,-2.36035,-8.55869,-2.17271,-3.42033,-9.98857
27,2.66667,16.0,0.5,0.0127987,-0.0723173,-1.87596,-0.146388,-0.61152,-4.67295,-0.628157,-1.5094,-7.15811,-1.36077,-2.62207,-9.19315,-2.24691,-3.82582,-10.7653
