node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,3.59657e-40,3.59356e-40,-1.12018e-40,6.60325e-40,6.47043e-40,-4.80184e-40,7.88221e-40,7.91504e-40,-1.0982e-39,7.05477e-40,7.95098e-40,-1.76835e-39,2.42935e-40,4.91442e-40,-2.57123e-39
2,0.0,2.66667,0.5,-0.0192698,-0.0219342,-0.427917,-0.108541,-0.118309,-0.856809,-0.307333,-0.287276,-1.24233,-0.586423,-0.503499,-1.52756,-0.929116,-0.754364,-1.7008
5,2.66667,2.66667,0.5,-0.030122,-0.0589159,-0.786961,-0.210891,-0.276961,-1.66707,-0.645435,-0.672564,-2.56918,-1.2787,-1.19014,-3.26968,-2.0769,-1.80248,-3.71864
8,2.66667,0.0,0.5,-0.013343,-0.0397295,-0.369222,-0.116009,-0.172267,-0.839177,-0.375416,-0.418091,-1.3689,-0.762509,-0.743317,-1.78231,-1.2559,-1.12934,-2.03581
9,0.0,5.33333,0.5,-0.0286703,-0.0346425,-0.775146,-0.175716,-0.200151,-1.57648,-0.518012,-0.496999,-2.32093,-1.00789,-0.883258,-2.89731,-1.62241,-1.34159,-3.2884
11,2.66667,5.33333,0.5,-0.0365969,-0.0665059,-1.1189,-0.261228,-0.337398,-2.34194,-0.809075,-0.834304,-3.57973,-1.61023,-1.48932,-4.5663,-2.62856,-2.27473,-5.25199
13,0.0,8.0,0.5,-0.0327884,-0.0408822,-1.04952,-0.219606,-0.256744,-2.18136,-0.67267,-0.653419,-3.26759,-1.33178,-1.17767,-4.13539,-2.17225,-1.81156,-4.76697
15,2.66667,8.0,0.5,-0.038004,-0.0665183,-1.37669,-0.287752,-0.369937,-2.89399,-0.913414,-0.939072,-4.44214,-1.83682,-1.69831,-5.70788,-3.02333,-2.62281,-6.64553
17,0.0,10.6667,0.5,-0.034455,-0.0430806,-1.25887,-0.250857,-0.296304,-2.69259,-0.794407,-0.773953,-4.11441,-1.59522,-1.41409,-5.27408,-2.62812,-2.20011,-6.15867
19,2.66667,10.6667,0.5,-0.036961,-0.0613374,-1.56835,-0.301306,-0.383962,-3.34436,-0.982447,-1.00658,-5.18624,-1.99737,-1.84745,-6.72175,-3.31356,-2.88545,-7.91335
21,0.0,13.3333,0.5,-0.03541,-0.0423268,-1.40831,-0.275343,-0.322929,-3.12213,-0.894328,-0.867652,-4.87911,-1.81455,-1.60681,-6.33024,-3.01023,-2.52544,-7.47349
23,2.66667,13.3333,0.5,-0.0353066,-0.0535429,-1.69975,-0.308115,-0.386408,-3.70659,-1.02827,-1.0492,-5.83068,-2.1103,-1.95446,-7.6251,-3.52361,-3.08447,-9.06512
25,0.0,16.0,0.5,-0.0370548,-0.0404511,-1.50162,-0.296387,-0.340708,-3.4736,-0.976133,-0.941064,-5.56499,-1.99359,-1.76493,-7.30569,-3.32246,-2.79846,-8.70942
27,2.66667,16.0,0.5,-0.0344865,-0.0438914,-1.77328,-0.312429,-0.37935,-3.98268,-1.0577,-1.06987,-6.37515,-2.18497,-2.02303,-8.41276,-3.66517,-3.22349,-10.0876
29,0.0,18.6667,0.5,-0.0404354,-0.0380295,-1.53739,-0.315861,-0.350558,-3.73389,-1.03945,-0.992918,-6.14587,-2.12822,-1.88437,-8.16534,-3.55599,-3.01127,-9.8233
31,2.66667,18.6667,0.5,-0.0357737,-0.0336328,-1.78769,-0.316974,-0.364763,-4.16262,-1.07333,-1.06897,-6.79866,-2.22305,-2.05129,-9.05446,-3.73871,-3.29761,-10.9407
33,0.0,21.3333,0.5,-0.0525345,-0.0383296,-1.51469,-0.347223,-0.358208,-3.88506,-1.10075,-1.02647,-6.57928,-2.23467,-1.96303,-8.84733,-3.72411,-3.15377,-10.7355
35,2.66667,21.3333,0.5,-0.0374366,-0.0248671,-1.73898,-0.319251,-0.347481,-4.22757,-1.07174,-1.05178,-7.06234,-2.21945,-2.04427,-9.49436,-3.73683,-3.31102,-11.5513
37,0.0,24.0,0.5,-0.0587569,-0.0115973,-1.45454,-0.363919,-0.308238,-3.95847,-1.12356,-0.964058,-6.89808,-2.26699,-1.90272,-9.38951,-3.77131,-3.10951,-11.4905
39,2.66667,24.0,0.5,-0.0421425,-0.00884321,-1.65217,-0.327322,-0.313194,-4.21729,-1.07,-1.00194,-7.21431,-2.20309,-1.98567,-9.79106,-3.7033,-3.25032,-11.9882
41,0.0,26.6667,0.5,-0.0526687,-0.00686912,-1.35658,-0.355206,-0.299455,-3.93496,-1.09873,-0.952486,-7.04408,-2.2211,-1.8955,-9.68954,-3.70195,-3.11364,-11.9375
43,2.66667,26.6667,0.5,-0.0501768,-0.000766919,-1.51918,-0.344085,-0.294276,-4.10112,-1.07864,-0.968805,-7.18939,-2.19435,-1.94069,-9.84276,-3.66995,-3.19554,-12.1109
45,0.0,29.3333,0.5,-0.0624127,-0.0184621,-1.21806,-0.378252,-0.323455,-3.79749,-1.11802,-0.984656,-6.9783,-2.22707,-1.93769,-9.68167,-3.68721,-3.16769,-11.9809
47,2.66667,29.3333,0.5,-0.0626953,-0.00482474,-1.33314,-0.373457,-0.301813,-3.85747,-1.10977,-0.97367,-6.94816,-2.21722,-1.94334,-9.5938,-3.6762,-3.19623,-11.8508
49,0.0,32.0,0.5,-0.0779232,-0.008075,-1.03895,-0.415799,-0.305992,-3.54626,-1.16475,-0.956348,-6.70446,-2.27524,-1.90066,-9.37195,-3.73057,-3.12405,-11.6289
51,2.66667,32.0,0.5,-0.0662505,0.0132352,-1.11411,-0.389926,-0.270152,-3.51775,-1.13114,-0.926442,-6.52831,-2.23807,-1.88475,-9.08214,-3.69218,-3.13041,-11.2421
53,0.0,34.6667,0.5,-0.0767849,0.00247166,-0.804504,-0.426578,-0.294962,-3.16082,-1.18588,-0.947794,-6.20422,-2.30565,-1.90321,-8.74758,-3.76975,-3.14591,-10.8778
55,2.66667,34.6667,0.5,-0.0708782,0.0051982,-0.862258,-0.413896,-0.296616,-3.09521,-1.17583,-0.975148,-5.96808,-2.30391,-1.96467,-8.37892,-3.77976,-3.24971,-10.3971
57,0.0,37.3333,0.5,-0.0896619,-0.0247703,-0.540678,-0.469343,-0.363119,-2.71176,-1.2642,-1.06319,-5.60715,-2.42201,-2.0763,-8.00377,-3.92611,-3.3855,-9.99454
59,2.66667,37.3333,0.5,-0.0777194,0.000373315,-0.576758,-0.447517,-0.323366,-2.59434,-1.24688,-1.03431,-5.28163,-2.41821,-2.07092,-7.50685,-3.94217,-3.41592,-9.34637
61,0.0,40.0,0.5,-0.108582,-0.00418653,-0.262834,-0.525925,-0.338125,-2.22167,-1.36832,-1.04373,-4.93351,-2.57931,-2.0768,-7.14351,-4.14139,-3.41894,-8.95132
63,2.66667,40.0,0.5,-0.0737707,-0.00243741,-0.284613,-0.460174,-0.347447,-2.07485,-1.2893,-1.09196,-4.5621,-2.49752,-2.17808,-6.58834,-4.0641,-3.58649,-8.23666
65,5.33333,2.66667,0.5,-0.0307439,-0.0828419,-1.053,-0.26468,-0.385506,-2.30589,-0.858477,-0.95099,-3.67429,-1.74481,-1.70319,-4.78197,-2.88516,-2.61023,-5.55198
66,5.33333,0.0,0.5,-0.0188654,-0.0677184,-0.655362,-0.193012,-0.300582,-1.53184,-0.649477,-0.744268,-2.55526,-1.34266,-1.3396,-3.3827,-2.24146,-2.05878,-3.93635
69,5.33333,5.33333,0.5,-0.0349916,-0.0863322,-1.36381,-0.299388,-0.427093,-2.91927,-0.97418,-1.06757,-4.58483,-1.97982,-1.92267,-5.95573,-3.27761,-2.96246,-6.96156
71,5.33333,8.0,0.5,-0.0344442,-0.0813486,-1.60044,-0.311987,-0.439967,-3.40501,-1.03434,-1.12734,-5.33515,-2.11641,-2.05339,-6.95407,-3.52225,-3.19244,-8.19971
73,5.33333,10.6667,0.5,-0.0316694,-0.071659,-1.77305,-0.312875,-0.436145,-3.78884,-1.06238,-1.15347,-5.9616,-2.19327,-2.12996,-7.81365,-3.67273,-3.34445,-9.29306
75,5.33333,13.3333,0.5,-0.0283479,-0.0588236,-1.88616,-0.308462,-0.420914,-4.08205,-1.07153,-1.15584,-6.47811,-2.23076,-2.16652,-8.54403,-3.75583,-3.43551,-10.241
