node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,3.70212e-40,3.65808e-40,-1.07651e-40,6.97142e-40,6.65882e-40,-4.43486e-40,8.7435e-40,7.92758e-40,-1.06368e-39,8.41526e-40,7.59526e-40,-1.76441e-39,4.74117e-40,4.15409e-40,-2.59721e-39
2,0.0,2.66667,0.5,-0.0131831,-0.0175499,-0.402911,-0.0704754,-0.108767,-0.835647,-0.24382,-0.314744,-1.31271,-0.506645,-0.566062,-1.64685,-0.830255,-0.842893,-1.85227
5,2.66667,2.66667,0.5,-0.0198508,-0.0510684,-0.724469,-0.128979,-0.246276,-1.49025,-0.480403,-0.689558,-2.44048,-1.03879,-1.25558,-3.18085,-1.74566,-1.8939,-3.66337
8,2.66667,0.0,0.5,-0.00841538,-0.036138,-0.334991,-0.0705915,-0.152236,-0.6942,-0.276861,-0.416537,-1.19433,-0.611862,-0.762004,-1.60409,-1.03848,-1.15213,-1.86015
9,0.0,5.33333,0.5,-0.0169352,-0.0297425,-0.727341,-0.107356,-0.189454,-1.53962,-0.40949,-0.561334,-2.47805,-0.876676,-1.01892,-3.15359,-1.45918,-1.52868,-3.60007
11,2.66667,5.33333,0.5,-0.0164798,-0.0532564,-1.02358,-0.139271,-0.293096,-2.12388,-0.572977,-0.858389,-3.4881,-1.27186,-1.58214,-4.55793,-2.16638,-2.40764,-5.3056
13,0.0,8.0,0.5,-0.0182469,-0.0368062,-0.985806,-0.131278,-0.249499,-2.14367,-0.537565,-0.764698,-3.5483,-1.17656,-1.40548,-4.57894,-1.98082,-2.12532,-5.29074
15,2.66667,8.0,0.5,-0.0152431,-0.0618917,-1.26548,-0.147945,-0.344006,-2.6645,-0.646871,-1.0217,-4.42837,-1.46018,-1.89088,-5.81802,-2.50877,-2.88786,-6.827
17,0.0,10.6667,0.5,-0.0204041,-0.0416277,-1.18263,-0.152055,-0.296662,-2.65087,-0.643286,-0.937648,-4.51994,-1.42595,-1.74444,-5.91136,-2.41768,-2.65539,-6.89901
19,2.66667,10.6667,0.5,-0.0191303,-0.0559951,-1.45892,-0.164346,-0.359664,-3.13284,-0.719321,-1.12493,-5.29677,-1.63136,-2.11549,-7.01254,-2.81364,-3.25886,-8.29276
21,0.0,13.3333,0.5,-0.0226971,-0.0405075,-1.31715,-0.169028,-0.32235,-3.04973,-0.722453,-1.06134,-5.36782,-1.61645,-2.00874,-7.12655,-2.76009,-3.08729,-8.40793
23,2.66667,13.3333,0.5,-0.0193278,-0.0488666,-1.58095,-0.169241,-0.362317,-3.47495,-0.753824,-1.18816,-6.0052,-1.72506,-2.27059,-8.03116,-2.99322,-3.52913,-9.57908
